archivo,beam,shot_number,lat,lon,este_utm19s,norte_utm19s,agbd,agbd_se,agbd_pi_lower,agbd_pi_upper,l4_quality_flag,l2_quality_flag,algorithm_run_flag,predictor_limit_flag,response_limit_flag,surface_flag,selected_algorithm,degrade_flag,sensitivity,solar_elevation,predict_stratum,pft_class,region_class,leaf_off_flag,landsat_treecover,urban_proportion
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0001,351000100100041945,-42.710478,-71.070350,330456.01,5269257.15,-9999.0,-9999.0,-9999.0,-9999.0,0,0,0,255,255,0,1,0,-1.7986442,-22.866621,GSW_SA,5,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0001,351000100100041946,-42.710191,-71.069774,330502.42,5269290.14,-9999.0,-9999.0,-9999.0,-9999.0,0,0,0,255,255,0,1,0,2.1366844,-22.86715,GSW_SA,5,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0001,351000100100041947,-42.709904,-71.069198,330548.80,5269323.12,-9999.0,-9999.0,-9999.0,-9999.0,0,0,0,255,255,0,1,0,-0.021957163,-22.867676,GSW_SA,5,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0001,351000100100041948,-42.709618,-71.068622,330595.23,5269356.12,-9999.0,-9999.0,-9999.0,-9999.0,0,0,0,255,255,0,1,0,2.5069249,-22.868204,GSW_SA,5,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0001,351000100100041949,-42.709331,-71.068046,330641.63,5269389.10,-9999.0,-9999.0,-9999.0,-9999.0,0,0,0,255,255,0,1,0,-12.963868,-22.86873,GSW_SA,5,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0001,351000100100041950,-42.709044,-71.067470,330688.01,5269422.08,-9999.0,-9999.0,-9999.0,-9999.0,0,0,0,255,255,0,1,0,2.2310424,-22.869259,GSW_SA,5,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0001,351000100100041951,-42.708758,-71.066894,330734.41,5269455.06,-9999.0,-9999.0,-9999.0,-9999.0,0,0,0,255,255,0,1,0,2.1458402,-22.869785,GSW_SA,5,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0001,351000100100041952,-42.708471,-71.066318,330780.79,5269488.02,-9999.0,-9999.0,-9999.0,-9999.0,0,0,0,255,255,0,1,0,2.456602,-22.870314,GSW_SA,5,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0010,351000200100042738,-42.786810,-71.213522,318953.41,5260483.03,-9999.0,-9999.0,-9999.0,-9999.0,0,0,0,255,255,1,1,0,-2.7002923,-22.731588,GSW_SA,6,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0010,351000200100042739,-42.786527,-71.212960,318998.55,5260515.61,-9999.0,-9999.0,-9999.0,-9999.0,0,0,0,255,255,1,1,0,1.9860734,-22.732105,GSW_SA,6,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0010,351000200100042740,-42.786232,-71.212350,319047.55,5260549.69,1.3311168,3.0053778,-9999.0,16.288925,0,0,1,255,255,1,1,0,0.86511767,-22.732685,GSW_SA,6,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0010,351000200100042741,-42.785946,-71.211777,319093.63,5260582.63,18.380789,2.9821768,2.0056646,51.241962,0,1,1,255,255,1,1,0,0.90794575,-22.733213,GSW_SA,6,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0010,351000200100042742,-42.785664,-71.211216,319138.69,5260615.17,55.126205,2.9949377,20.679754,106.12926,0,1,1,255,255,1,1,0,0.93618464,-22.733736,GSW_SA,6,6,0,90.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0010,351000200100042743,-42.785380,-71.210648,319184.36,5260647.95,73.57885,3.0086772,32.42182,131.36842,0,1,1,255,255,1,1,0,0.9210361,-22.734255,GSW_SA,6,6,0,30.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0010,351000200100042744,-42.785090,-71.210059,319231.68,5260681.37,20.443542,2.9818857,2.7242382,54.64729,0,1,1,255,255,1,1,0,0.9245527,-22.734793,GSW_SA,6,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0010,351000200100042745,-42.784800,-71.209467,319279.23,5260714.87,3.9757948,2.9956322,-9999.0,23.73128,0,0,1,255,255,1,1,0,0.86618334,-22.735323,GSW_SA,6,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0010,351000200100042746,-42.784517,-71.208902,319324.60,5260747.53,61.062428,2.999035,24.354956,114.349144,0,1,1,255,255,1,1,0,0.9415649,-22.735847,GSW_SA,6,6,0,46.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0010,351000200100042747,-42.784232,-71.208330,319370.61,5260780.43,16.01549,2.982803,1.2781823,47.24231,0,1,1,255,255,1,1,0,0.9115021,-22.736372,GSW_SA,6,6,0,49.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0010,351000200100042748,-42.783942,-71.207742,319417.87,5260813.82,7.122148,2.9896755,-9999.0,30.72939,0,1,1,255,255,1,1,0,0.9129115,-22.736904,GSW_SA,6,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0010,351000200100042749,-42.783655,-71.207160,319464.64,5260847.01,8.184828,2.9882836,-9999.0,32.889294,0,1,1,255,255,1,1,0,0.9356172,-22.737434,GSW_SA,6,6,0,62.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0010,351000200100042750,-42.783369,-71.206584,319510.89,5260880.00,22.015633,2.9817998,3.3167565,57.19848,0,1,1,255,255,1,1,0,0.9412373,-22.737963,GSW_SA,6,6,0,90.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0010,351000200100042751,-42.783082,-71.206006,319557.34,5260913.06,29.134228,2.9825757,6.382465,68.374245,0,1,1,255,255,1,1,0,0.93835664,-22.738497,GSW_SA,6,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0010,351000200100042752,-42.782501,-71.204820,319652.66,5260980.12,33.05127,2.9836419,8.278574,74.31811,0,1,1,255,255,1,1,0,0.9092873,-22.739569,GSW_SA,6,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0010,351000200100042753,-42.782212,-71.204232,319699.90,5261013.49,10.986898,2.985534,0.19533445,38.283077,0,0,1,255,255,1,1,0,0.88769925,-22.740107,GSW_SA,6,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0010,351000200100042754,-42.781924,-71.203648,319746.87,5261046.74,1.5007216,3.0044506,-9999.0,16.865877,0,0,1,255,255,1,1,0,0.89448714,-22.740635,GSW_SA,6,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0010,351000200100042755,-42.781639,-71.203076,319792.86,5261079.62,1.941599,3.0023344,-9999.0,18.2685,0,0,1,255,255,1,1,0,0.85949105,-22.74116,GSW_SA,6,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0010,351000200100042756,-42.781353,-71.202500,319839.13,5261112.60,4.0792212,2.9953742,-9999.0,23.981796,0,1,1,255,255,1,1,0,0.9025389,-22.741686,GSW_SA,6,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0010,351000200100042757,-42.781067,-71.201923,319885.45,5261145.60,10.986898,2.985534,0.19533445,38.283077,0,0,1,255,255,1,1,0,0.88081473,-22.742214,GSW_SA,6,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0010,351000200100042758,-42.780781,-71.201348,319931.71,5261178.57,9.164226,2.987188,0.023644835,34.81856,0,1,1,255,255,1,1,0,0.90092415,-22.74274,GSW_SA,6,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0010,351000200100042759,-42.780496,-71.200776,319977.63,5261211.41,14.189296,2.9835424,0.8012822,44.07091,0,0,1,255,255,1,1,0,0.850601,-22.743265,GSW_SA,6,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0010,351000200100042760,-42.780213,-71.200209,320023.25,5261244.13,7.7867794,2.9887779,-9999.0,32.08909,0,0,1,255,255,1,1,0,0.8919859,-22.743786,GSW_SA,6,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0010,351000200100042761,-42.779929,-71.199643,320068.68,5261276.77,10.526467,2.9859097,0.13807775,37.421547,0,1,1,255,255,1,1,0,0.91826844,-22.744305,GSW_SA,6,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0010,351000200100042762,-42.779645,-71.199074,320114.40,5261309.53,6.005444,2.991419,-9999.0,28.367481,0,0,1,255,255,1,1,0,0.8421565,-22.744825,GSW_SA,6,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0010,351000200100042763,-42.779364,-71.198514,320159.45,5261342.02,20.27234,2.9819016,2.6619453,54.367268,0,0,1,255,255,1,1,0,0.8654603,-22.745344,GSW_SA,6,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0010,351000200100042764,-42.779079,-71.197942,320205.35,5261374.85,7.894374,2.9886415,-9999.0,32.30638,0,1,1,255,255,1,1,0,0.9017571,-22.745865,GSW_SA,6,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0010,351000200100042765,-42.778795,-71.197374,320250.99,5261407.57,20.672892,2.9818666,2.8083982,55.021725,0,0,1,255,255,1,1,0,0.8928953,-22.74639,GSW_SA,6,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0010,351000200100042766,-42.778508,-71.196792,320297.84,5261440.76,17.362852,2.9824047,1.6788349,49.53418,0,1,1,255,255,1,1,0,0.9049613,-22.74692,GSW_SA,6,6,0,0.0,0
