nombre_corto,aoi,sensor,fecha,nombre_original,archivo_origen
S2A_L2A_20240229_R053_T19GCN,ESTEPA_NW_02,S2_L2A,20240229,S2A_MSIL2A_20240229T142711_N0510_R053_T19GCN_20240229T190551,S2A_MSIL2A_20240229T142711_N0510_R053_T19GCN_20240229T190551.zip
S2B_L2A_20251125_R053_T19GCN,ESTEPA_NW_02,S2_L2A,20251125,S2B_MSIL2A_20251125T142709_N0511_R053_T19GCN_20251125T180610,S2B_MSIL2A_20251125T142709_N0511_R053_T19GCN_20251125T180610.zip
S2C_L2A_20260109_R053_T19GCN,ESTEPA_NW_02,S2_L2A,20260109,S2C_MSIL2A_20260109T142721_N0511_R053_T19GCN_20260109T180225,S2C_MSIL2A_20260109T142721_N0511_R053_T19GCN_20260109T180225.zip
S2B_L2A_20260305_R053_T19GCN,ESTEPA_NW_02,S2_L2A,20260305,S2B_MSIL2A_20260305T142749_N0512_R053_T19GCN_20260305T192326,S2B_MSIL2A_20260305T142749_N0512_R053_T19GCN_20260305T192326.zip
SAO1B_L1A_20251123_13870600,ESTEPA_NW_02,SAOCOM_L1A,20251123,EOL1ASARSAO1B13870600,S1B_OPER_SAR_EOSSP__CORE_L1A_OLF_20251125T074457.xemt
SAO1B_L1A_20260110_14465476,ESTEPA_NW_02,SAOCOM_L1A,20260110,EOL1ASARSAO1B14465476,S1B_OPER_SAR_EOSSP__CORE_L1A_OLF_20260225T154921.xemt
SAO1B_L1A_20260227_14489260,ESTEPA_NW_02,SAOCOM_L1A,20260227,EOL1ASARSAO1B14489260,S1B_OPER_SAR_EOSSP__CORE_L1A_OLF_20260301T235257.xemt
BIOMASS_P_20260210,ESTEPA_NW_02,BIOMASS_P,20260210,BIO_S1_SCS__1S_20260210T222704_20260210T222724_T_G01_M02_C01_T014_F192_01_DMNRGQ,BIO_S1_SCS__1S_20260210T222704_20260210T222724_T_G01_M02_C01_T014_F192_01_DMNRGQ.zip
BIOMASS_P_20260213,ESTEPA_NW_02,BIOMASS_P,20260213,BIO_S1_SCS__1S_20260213T222706_20260213T222726_T_G01_M02_C02_T014_F192_01_DMTBTU,BIO_S1_SCS__1S_20260213T222706_20260213T222726_T_G01_M02_C02_T014_F192_01_DMTBTU.zip
BIOMASS_P_20260222,ESTEPA_NW_02,BIOMASS_P,20260222,BIO_S1_SCS__1S_20260222T222711_20260222T222731_T_G01_M02_C05_T014_F192_01_DN9YJZ,BIO_S1_SCS__1S_20260222T222711_20260222T222731_T_G01_M02_C05_T014_F192_01_DN9YJZ.zip
BIOMASS_P_20260225,ESTEPA_NW_02,BIOMASS_P,20260225,BIO_S1_SCS__1S_20260225T222713_20260225T222733_T_G01_M02_C06_T014_F192_01_DNFL1T,BIO_S1_SCS__1S_20260225T222713_20260225T222733_T_G01_M02_C06_T014_F192_01_DNFL1T.zip
BIOMASS_P_20260228,ESTEPA_NW_02,BIOMASS_P,20260228,BIO_S1_SCS__1S_20260228T222715_20260228T222735_T_G01_M02_C07_T014_F192_01_DNL4PE,BIO_S1_SCS__1S_20260228T222715_20260228T222735_T_G01_M02_C07_T014_F192_01_DNL4PE.zip
BIOMASS_P_20260423,BOSQUE_NW_02,BIOMASS_P,20260423,BIO_S1_SCS__1S_20260423T223143_20260423T223204_T_G01_M03_C01_T014_F192_02_DQDA99,BIO_S1_SCS__1S_20260423T223143_20260423T223204_T_G01_M03_C01_T014_F192_02_DQDA99.zip
BIOMASS_P_20260529,BOSQUE_NW_02,BIOMASS_P,20260529,BIO_S2_SCS__1S_20260529T223206_20260529T223227_T_G01_M03_C06_T014_F192_02_DS8FMH,BIO_S2_SCS__1S_20260529T223206_20260529T223227_T_G01_M03_C06_T014_F192_02_DS8FMH.zip
BIOMASS_P_20260610,BOSQUE_NW_02,BIOMASS_P,20260610,BIO_S2_SCS__1S_20260610T223214_20260610T223234_T_G01_M03_C03_T014_F192_02_DSUO5A,BIO_S2_SCS__1S_20260610T223214_20260610T223234_T_G01_M03_C03_T014_F192_02_DSUO5A.zip
BIOMASS_P_20260630,BOSQUE_NW_02,BIOMASS_P,20260630,BIO_S2_SCS__1S_20260630T110117_20260630T110137_T_G01_M03_CDR_T036_F274_02_DTUJGO,BIO_S2_SCS__1S_20260630T110117_20260630T110137_T_G01_M03_CDR_T036_F274_02_DTUJGO.zip
