shot_number,este_utm19s,norte_utm19s,altura_dosel_rh95_m,rh98_m,cover,pai,fhd_normal,pendiente_grados
346880800100042974,321137.8,5257492.3,3.54,4.4,0.08557296,0.17893898,1.6995834,13.83
346880800100042975,321183.7,5257525.0,3.69,4.52,0.07614432,0.15841742,1.6503733,15.95
346880800100042976,321229.2,5257557.4,3.06,3.84,0.008212583,0.01649318,1.4587942,15.83
346880800100042977,321274.6,5257589.9,4.96,6.5,0.20632456,0.4623281,1.9331058,12.51
346880800100042978,321321.2,5257623.0,3.47,4.33,0.010545668,0.021203661,0.8083797,16.03
346880800100042979,321368.1,5257656.3,5.64,6.72,0.04659742,0.09544274,1.8337857,15.81
346880800100042980,321414.4,5257689.2,3.21,4.03,0.0050456496,0.010116918,0.9224322,13.49
346880800100042985,321650.2,5257856.6,2.46,3.25,0.014152416,0.028507622,0.6365142,19.83
346880800100042986,321696.1,5257889.3,3.77,4.74,0.008455654,0.01698342,1.1063327,17.94
346880800100042989,321833.6,5257987.4,4.29,5.41,0.1668294,0.36513603,1.7492423,17.00
346880800100042990,321879.5,5258020.2,3.36,4.25,0.08162393,0.17031814,1.7469012,14.97
346880800100042991,321926.0,5258053.3,3.62,4.67,0.07428067,0.15438603,1.8617951,13.81
346880800100042992,321972.5,5258086.5,5.26,6.46,0.11907504,0.2536141,1.9774928,17.61
346880800100042993,322019.6,5258119.9,5.82,6.68,0.20956229,0.47050983,1.8153174,18.23
346880800100042994,322066.4,5258153.2,5.26,6.61,0.005142147,0.010310904,1.077444,11.38
346880800100042995,322113.5,5258186.7,3.13,3.77,0.00823061,0.016529534,1.1050495,10.27
346880800100042996,322159.5,5258219.5,3.88,4.59,0.16127153,0.3518313,1.5423727,15.66
346880800100042997,322205.0,5258252.1,4.4,5.41,0.11773348,0.25056943,1.8762401,17.74
346880800100042998,322250.9,5258284.9,6.31,7.88,0.2857515,0.6734157,2.0678065,18.28
346880800100043004,322524.8,5258480.7,3.32,4.37,0.040989537,0.08371171,1.8199757,15.45
346880800100043005,322570.5,5258513.4,4.63,5.86,0.007854447,0.015771091,1.7869611,19.28
346880800100043006,322615.7,5258545.7,4.85,5.94,0.03984842,0.08133306,1.9180753,16.80
346880800100043007,322661.4,5258578.4,4.4,5.79,0.18347318,0.4055181,1.8552083,8.11
346880800100043008,322707.9,5258611.5,4.33,5.23,0.07255524,0.15066087,1.7116383,11.68
346880800100043009,322753.8,5258644.2,2.46,3.1,0.013026621,0.026224922,1.5469979,11.90
346880800100043012,322888.7,5258740.8,4.74,5.71,0.23177914,0.5275757,1.7618927,12.11
346880800100043013,322935.2,5258773.9,7.73,8.96,0.15275435,0.3316131,2.2701325,17.14
346880800100043014,322982.8,5258807.6,4.93,5.86,0.1267142,0.27104026,1.8963405,17.71
346880800100043015,323028.6,5258840.3,5.97,7.09,0.21748543,0.49067426,2.0265388,18.73
346880800100043017,323122.3,5258906.8,4.85,5.97,0.007418518,0.014892505,1.0334499,19.33
346880800100043018,323169.1,5258940.1,6.8,8.44,0.23367281,0.5325161,2.1036098,17.51
346880800100043023,323405.2,5259107.4,7.51,8.78,0.11134095,0.23612511,2.2556872,14.91
346880800100043024,323452.6,5259141.0,1.98,2.61,0.017710714,0.035739776,0.6365142,12.90
346880800100043025,323499.4,5259174.2,7.84,9.3,0.17217351,0.3780133,2.311801,17.34
346880800100043027,323594.1,5259241.3,6.16,7.77,0.16263214,0.3550802,2.239804,19.47
346880800100043028,323641.1,5259274.7,7.92,9.45,0.1591675,0.3468176,2.3206704,19.53
346880800100043029,323688.4,5259308.2,7.95,9.49,0.087603934,0.18338722,2.3339655,18.00
346880800100043030,323736.0,5259341.9,3.88,4.85,0.0072206887,0.01449392,0.95614296,13.07
346880800100043031,323783.0,5259375.2,4.22,5.34,0.0038865758,0.0077883406,0.6365142,10.87
346880800100043032,323830.1,5259408.6,4.4,5.34,0.0020921442,0.0041886843,1.0778774,11.05
346880800100043033,323877.2,5259442.1,4.59,5.6,0.051545884,0.10585196,1.8297839,11.28
346880800100043034,323924.1,5259475.4,3.1,3.99,0.06771407,0.14024596,1.7628489,8.19
346880800100043035,323970.6,5259508.5,3.13,3.99,0.0264457,0.05360545,1.7577008,6.88
346880800100043036,324017.2,5259541.6,2.65,3.28,0.008451152,0.01697434,0.84093225,7.50
346880800100043037,324063.3,5259574.5,3.02,3.77,0.027955996,0.05671075,1.7998683,9.71
346880800100043038,324109.1,5259607.1,2.68,3.39,0.040333685,0.08234424,1.5952332,9.65
346880800100043039,324154.9,5259639.8,2.24,2.83,0.028786588,0.058420584,1.5750518,7.93
346880800100043040,324200.9,5259672.7,1.98,2.42,0.013640827,0.027469981,1.3033719,5.73
346880800100043041,324247.0,5259705.5,2.12,2.65,0.016551083,0.033379976,1.3671339,4.93
346880800100043042,324293.2,5259738.5,1.9,2.35,0.00929927,0.018685808,1.5300239,4.85
346880800100043043,324339.3,5259771.3,2.2,2.72,0.005121533,0.010269461,1.4371134,5.54
346880800100043044,324385.4,5259804.2,1.94,2.39,0.0060106483,0.012057675,1.4361761,5.22
346880800100043045,324431.5,5259837.1,2.95,3.73,0.025590515,0.051849253,1.7252468,8.67
346880800100043046,324477.8,5259870.1,4.1,5.04,0.040372264,0.082424656,1.9511967,12.99
346880800100043047,324524.2,5259903.2,4.07,5.04,0.08282031,0.17292595,1.7461153,15.84
346880800100043048,324570.3,5259936.0,4.55,5.94,0.017658085,0.035632618,1.8294216,19.04
346880800100043050,324661.3,5260001.1,10.94,11.76,0.91007745,4.8628645,2.2612317,18.93
346880800100043051,324707.3,5260034.0,5.08,6.09,0.28591523,0.6738748,1.7883327,16.69
346880800100043052,324753.3,5260066.8,4.55,5.45,0.21793407,0.49182215,1.7554923,13.91
346880800100043053,324799.2,5260099.6,5.38,6.38,0.30233872,0.7204668,1.859693,11.45
346880800100043054,324845.4,5260132.5,6.01,7.24,0.27769473,0.6509565,1.9914026,12.09
346880800100043055,324892.4,5260165.9,2.16,2.83,0.016305856,0.032881305,0.74968743,14.28
346880800100043056,324938.0,5260198.5,10.98,12.1,0.39244178,0.99746764,2.4969177,18.73
346880800100043057,324983.2,5260230.8,5.49,6.68,0.05450838,0.11210975,2.033308,19.48
346880800100043058,325028.5,5260263.2,8.03,9.71,0.27344778,0.6392186,2.3186,12.80
346880800100043059,325075.8,5260296.8,2.76,3.47,0.013176231,0.026528126,1.4382632,15.31
346880800100043060,325121.8,5260329.7,3.47,4.29,0.010219669,0.020544803,1.3128136,16.10
346880800100043061,325168.3,5260362.8,4.11,5.0,0.07386257,0.15348272,1.7995242,16.16
346880800100043062,325214.8,5260395.8,3.43,4.14,0.1054618,0.22293256,1.5348628,14.03
346880800100043063,325260.9,5260428.7,2.72,3.4,0.025221108,0.05109112,1.690457,9.16
346880800100043064,325307.1,5260461.6,2.42,2.98,0.02779104,0.05637135,1.3548,9.74
346880800100043065,325353.0,5260494.4,2.57,3.28,0.055574894,0.114367396,1.5387063,9.87
346880800100043066,325398.9,5260527.1,2.5,3.21,0.032334223,0.0657402,1.548651,9.67
346880800100043067,325444.5,5260559.7,2.61,3.36,0.014171169,0.028545668,1.625356,10.06
346880800100043068,325490.4,5260592.4,2.31,2.95,0.045115326,0.09233566,1.46303,8.06
346880800100043069,325536.4,5260625.2,2.27,2.83,0.026349882,0.0534086,1.4080008,7.98
346880800100043070,325582.4,5260658.0,2.57,3.21,0.021241296,0.042941615,1.6622753,9.26
346880800100043071,325628.3,5260690.7,2.61,3.28,0.0043449574,0.008708904,0.7222933,17.29
346880800100043077,325898.5,5260884.1,6.27,7.88,0.35048556,0.8636849,2.0234966,16.99
346880800100043078,325944.7,5260917.0,7.62,9.26,0.30191267,0.7192443,2.1621702,16.45
346880800100043081,326086.8,5261017.8,3.43,4.22,0.043336418,0.08861271,1.7484587,17.01
346880800100043082,326132.7,5261050.5,2.91,3.88,0.022655778,0.045834254,1.4626671,15.09
346880800100043083,326178.0,5261082.8,3.99,5.08,0.016209733,0.032685872,1.8983212,16.19
346880800100043084,326223.4,5261115.3,3.36,4.25,0.088725135,0.18584712,1.6676996,13.34
346880800100043085,326269.4,5261148.1,3.06,3.81,0.036725502,0.07483782,1.6024345,10.39
346880800100043086,326315.6,5261181.0,2.46,3.02,0.0035531349,0.0071189613,0.8794365,8.27
346880800100043087,326361.7,5261213.9,4.44,5.15,0.27081552,0.631978,1.5929747,3.12
346880800100043088,326408.1,5261246.9,8.74,9.56,0.43857068,1.1557175,2.1670785,2.78
346880800100043089,326454.3,5261279.8,6.2,7.06,0.2569363,0.594229,1.9624449,2.82
346880800100043090,326500.8,5261312.9,2.24,2.83,0.006858356,0.013764101,1.6144966,4.38
346880800100043091,326547.1,5261345.9,2.5,3.1,0.00432089,0.008660559,0.989499,3.36
346880800100043092,326593.5,5261378.9,2.39,2.98,0.0053203017,0.010669092,1.3585788,1.60
346880800100043093,326639.9,5261412.0,2.35,2.98,0.012416261,0.024988426,1.0951579,1.34
346880800100043094,326686.3,5261445.0,2.65,3.28,0.040963296,0.08365698,1.353395,3.33
346880800100043095,326732.9,5261478.1,2.98,3.77,0.022915937,0.04636674,1.8373525,5.77
346880800100043096,326779.4,5261511.3,2.54,3.13,0.007571665,0.015201119,1.0896977,5.16
346880800100043097,326826.0,5261544.4,5.75,6.95,0.15159324,0.32887265,1.982363,11.84
346880800100043098,326873.1,5261577.8,6.68,8.18,0.17151871,0.37643102,2.1830018,14.51
346880800100043099,326920.0,5261611.2,4.59,5.56,0.060233664,0.124259405,1.9525826,14.84
346880800100043100,326966.7,5261644.4,6.27,7.58,0.099384025,0.20938542,2.2175884,16.20
346880800100043101,327013.6,5261677.7,5.75,6.83,0.041967414,0.08575236,2.0256922,16.36
346880800100043102,327061.0,5261711.3,4.14,4.96,0.038322806,0.07815735,1.852972,13.83
346880800100043103,327107.9,5261744.7,4.85,5.94,0.059233315,0.12213121,1.9866557,13.32
346880800100043104,327154.9,5261778.1,6.01,7.09,0.18164535,0.40104312,2.0067585,14.90
