archivo,beam,shot_number,lat,lon,este_utm19s,norte_utm19s,elev_lowestmode,l2a_quality_flag_rel3,degrade_flag,sensitivity,rh25,rh50,rh75,rh95,rh98
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263200,-42.655308,-71.581801,288383.2,5274229.8,1087.3513,1,0,0.966271,7.26,11.04,14.29,18.56,20.06
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263202,-42.655880,-71.580670,288477.9,5274169.0,1055.6715,1,0,0.95661414,5.76,11.52,14.93,19.57,20.39
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263203,-42.656165,-71.580110,288524.7,5274138.8,1028.3531,1,0,0.9539033,9.02,14.52,17.77,21.26,22.15
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263206,-42.657028,-71.578397,288668.1,5274047.2,1015.38885,1,0,0.9579039,1.53,6.88,12.27,16.58,17.4
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263209,-42.657884,-71.576711,288809.1,5273956.4,946.66864,1,0,0.9632106,6.66,13.25,16.84,19.57,20.69
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263211,-42.658456,-71.575582,288903.6,5273895.7,911.7523,1,0,0.9758335,15.57,20.28,22.34,25.11,26.16
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263218,-42.660465,-71.571600,289236.8,5273682.5,851.12646,1,0,0.9662693,-0.93,-0.07,0.78,2.02,2.5
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263220,-42.661041,-71.570455,289332.6,5273621.4,848.94324,1,0,0.9568504,-0.44,1.01,3.85,6.47,7.18
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263223,-42.661906,-71.568729,289476.9,5273529.7,859.4088,1,0,0.95031923,0.82,3.89,6.32,9.46,10.44
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263225,-42.662486,-71.567565,289574.3,5273468.2,895.565,1,0,0.95923185,4.56,8.08,11.71,17.1,18.11
