archivo,beam,shot_number,lat,lon,este_utm19s,norte_utm19s,elev_lowestmode,l2a_quality_flag_rel3,degrade_flag,sensitivity,rh25,rh50,rh75,rh95,rh98,motivo,detalle
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262787,-42.653671,-71.561804,290016.8,5274461.5,964.34546,0,0,0.85381633,-2.43,-0.44,1.42,3.96,4.71,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262788,-42.653960,-71.561224,290065.3,5274430.8,976.6265,0,0,0.93443257,-0.41,2.05,4.56,7.63,8.23,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262789,-42.654251,-71.560640,290114.2,5274399.9,997.5424,0,0,0.9485211,-3.44,-0.86,1.08,3.29,3.96,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262790,-42.654536,-71.560076,290161.4,5274369.7,981.0697,0,0,0.91831225,0.86,3.59,6.02,8.83,9.54,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262791,-42.654825,-71.559497,290209.8,5274339.0,990.1848,0,0,0.89370084,3.89,6.51,8.27,11.26,12.04,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262793,-42.655402,-71.558346,290306.1,5274277.8,999.22,0,0,0.81093043,-2.02,-0.29,1.3,3.29,3.89,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262794,-42.655979,-71.557194,290402.5,5274216.6,1009.41595,0,0,0.9392851,-1.64,0.37,2.43,4.93,5.61,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262795,-42.656269,-71.556612,290451.1,5274185.8,1025.0548,0,0,0.91105956,1.6,6.06,9.61,12.31,12.94,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262796,-42.656564,-71.556018,290500.9,5274154.6,1065.1324,0,0,0.84531176,-1.23,0.97,3.44,5.76,6.32,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262797,-42.656852,-71.555442,290549.0,5274124.0,1068.6704,0,0,0.8432761,-1.79,-0.14,1.45,3.59,4.19,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262798,-42.657139,-71.554870,290596.8,5274093.5,1066.0765,0,0,0.9253565,0.74,2.99,4.97,7.44,8.08,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262800,-42.657719,-71.553711,290693.8,5274032.0,1088.607,0,0,0.8457206,-0.89,0.89,3.03,5.42,6.13,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262801,-42.658008,-71.553133,290742.1,5274001.3,1097.6154,0,0,0.9142109,0.11,3.25,6.02,8.41,9.09,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262802,-42.658298,-71.552554,290790.6,5273970.5,1107.633,0,0,0.8022202,-1.08,0.74,2.88,5.08,5.61,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
