archivo,beam,shot_number,lat,lon,este_utm19s,norte_utm19s,elev_lowestmode,l2a_quality_flag_rel3,degrade_flag,sensitivity,rh25,rh50,rh75,rh95,rh98,motivo,detalle
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0000,337570000100042589,-42.717682,-71.145135,324351.9,5268304.2,1307.4792,0,50,0.8377051,-1.19,0.89,3.51,6.92,7.82,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0000,337570000100042590,-42.717395,-71.144562,324398.0,5268337.2,1301.3029,0,50,0.83536476,-1.87,0.0,1.98,4.37,5.08,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0000,337570000100042591,-42.717107,-71.143986,324444.4,5268370.4,1301.8389,0,50,0.83343434,-0.93,0.56,2.31,4.56,5.16,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0000,337570000100042592,-42.716821,-71.143415,324490.3,5268403.4,1292.1521,0,50,0.8533737,-2.09,-0.03,1.98,4.11,4.71,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0000,337570000100042593,-42.716536,-71.142846,324536.1,5268436.2,1279.2412,0,50,0.79515594,-1.27,0.74,3.1,5.87,6.58,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0000,337570000100042594,-42.716247,-71.142266,324582.7,5268469.6,1286.0325,0,50,0.77767617,-1.15,0.71,2.84,5.57,6.17,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0000,337570000100042595,-42.715961,-71.141695,324628.7,5268502.5,1276.4924,0,50,0.8119156,-1.57,0.11,1.79,3.81,4.34,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0000,337570000100042596,-42.715662,-71.141092,324677.2,5268537.0,1327.7959,0,50,0.4400324,0.0,0.0,0.0,0.0,0.0,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0000,337570000100042597,-42.715385,-71.140544,324721.4,5268568.9,1276.5072,0,50,0.77077514,-0.44,0.63,1.98,3.47,3.77,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0000,337570000100042598,-42.715099,-71.139973,324767.3,5268601.8,1266.1758,0,50,0.6432858,0.18,1.42,2.88,4.45,4.75,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0000,337570000100042599,-42.714804,-71.139381,324814.9,5268635.7,1297.4188,0,50,0.45668003,0.0,0.0,0.0,0.0,0.0,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0000,337570000100042600,-42.714518,-71.138809,324861.0,5268668.7,1289.6033,0,50,0.65683043,0.0,0.0,0.0,0.0,0.0,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0000,337570000100042601,-42.714241,-71.138262,324905.0,5268700.6,1236.409,0,50,0.8295007,0.11,1.9,3.89,5.94,6.39,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0000,337570000100042602,-42.713953,-71.137685,324951.5,5268733.8,1238.9176,0,50,0.8236744,0.82,3.77,6.51,10.51,11.15,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0000,337570000100042603,-42.713661,-71.137101,324998.4,5268767.4,1254.1095,0,50,0.70712847,-1.01,0.63,2.39,4.56,5.08,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0000,337570000100042604,-42.713378,-71.136537,325043.8,5268800.0,1231.8649,0,50,0.83404434,-1.83,0.0,1.87,4.34,5.12,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0000,337570000100042605,-42.713093,-71.135968,325089.6,5268832.9,1218.7216,0,50,0.8744423,-2.46,-0.14,2.24,4.82,5.53,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0000,337570000100042606,-42.712807,-71.135398,325135.5,5268865.8,1208.2207,1,50,0.8883427,0.07,2.39,4.97,8.41,9.24,degradado: punteria u orbita anomalas,degrade_flag=50
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0000,337570000100042607,-42.712520,-71.134826,325181.6,5268898.9,1202.2083,0,50,0.87613374,0.37,3.21,5.87,9.99,10.92,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0000,337570000100042608,-42.712235,-71.134257,325227.3,5268931.7,1189.0236,1,50,0.89780694,0.26,3.21,5.94,9.2,10.06,degradado: punteria u orbita anomalas,degrade_flag=50
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0000,337570000100042609,-42.711938,-71.133660,325275.4,5268965.9,1229.3691,0,50,0.78000975,0.0,0.0,0.0,0.0,0.0,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0000,337570000100042610,-42.711647,-71.133077,325322.3,5268999.5,1242.6597,0,50,0.47944286,0.0,0.0,0.0,0.0,0.0,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0000,337570000100042611,-42.711354,-71.132491,325369.4,5269033.1,1261.3271,0,50,0.7369942,0.0,0.0,0.0,0.0,0.0,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0000,337570000100042612,-42.711061,-71.131904,325416.7,5269066.9,1283.5178,0,50,0.5449644,0.0,0.0,0.0,0.0,0.0,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0000,337570000100042613,-42.710769,-71.131318,325463.9,5269100.6,1303.3927,0,50,3.19177,0.0,0.0,0.0,0.0,0.0,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0000,337570000100042614,-42.710481,-71.130743,325510.2,5269133.7,1301.0266,0,50,2.2447946,0.0,0.0,0.0,0.0,0.0,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0000,337570000100042615,-42.710194,-71.130171,325556.2,5269166.8,1293.8944,0,50,-0.17345433,0.0,0.0,0.0,0.0,0.0,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0000,337570000100042616,-42.709907,-71.129599,325602.2,5269199.8,1287.1279,0,50,4.711657,0.0,0.0,0.0,0.0,0.0,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0000,337570000100042617,-42.709622,-71.129031,325648.0,5269232.7,1273.8477,0,50,32.617504,0.0,0.0,0.0,0.0,0.0,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0000,337570000100042618,-42.709362,-71.128525,325688.7,5269262.6,1141.4958,0,50,0.79543024,-1.01,0.07,1.19,2.88,3.47,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0000,337570000100042619,-42.709073,-71.127949,325735.1,5269295.9,1142.6418,0,50,0.7063594,-0.89,0.11,1.15,2.31,2.61,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0000,337570000100042620,-42.708785,-71.127374,325781.3,5269329.0,1141.2987,0,50,0.83830434,-1.01,-0.07,0.86,2.09,2.5,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0000,337570000100042621,-42.708497,-71.126800,325827.6,5269362.2,1138.6476,1,50,0.89907104,-1.01,-0.07,0.86,2.17,2.61,degradado: punteria u orbita anomalas,degrade_flag=50
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0001,337570100100041535,-42.758749,-71.213584,318866.5,5263599.0,1510.0286,0,50,2.6884727,0.0,0.0,0.0,0.0,0.0,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
