shot_number,lat,lon,rh98,pendiente_grados,predict_stratum,agbd_origen,agbd_L4A_Mg_ha,agbd_CCI2024_Mg_ha
334320800400262665,-42.689024,-71.578916,16.49,19.68,DBT_SA,hoja_caida,51.88449,209
334320800400262666,-42.689313,-71.578341,13.61,19.34,DBT_SA,hoja_caida,20.547192,209
334320800400262671,-42.690771,-71.575398,7.33,18.10,DBT_SA,hoja_caida,0.81360954,212
334320800400262672,-42.691061,-71.574816,4.93,13.73,DBT_SA,hoja_caida,0.064849265,179
334321100400257535,-42.686419,-71.597302,7.66,17.49,DBT_SA,hoja_caida,1.6205096,201
334321100400257536,-42.686708,-71.596720,4.33,12.35,DBT_SA,hoja_caida,0.0,201
334321100400257538,-42.687284,-71.595578,9.42,17.58,DBT_SA,hoja_caida,3.485297,0
334321100400257539,-42.687573,-71.595004,5.46,19.75,DBT_SA,hoja_caida,0.13675585,178
334321100400257544,-42.689292,-71.591650,8.19,16.75,DBT_SA,hoja_caida,2.3813152,186
334321100400257545,-42.689579,-71.591086,6.58,9.21,DBT_SA,hoja_caida,1.4883363,166
334321100400257546,-42.689867,-71.590513,8.15,2.20,DBT_SA,hoja_caida,4.264579,160
334321100400257547,-42.690156,-71.589938,6.17,2.50,DBT_SA,hoja_caida,0.80832785,66
334321100400257548,-42.690446,-71.589362,5.12,2.56,DBT_SA,hoja_caida,0.17743908,66
334321100400257549,-42.690735,-71.588787,5.57,7.13,DBT_SA,hoja_caida,0.25903055,127
334321100400257550,-42.691024,-71.588211,7.4,6.10,DBT_SA,hoja_caida,2.4051125,122
334321100400257551,-42.691313,-71.587637,3.32,2.27,DBT_SA,hoja_caida,0.0,122
340730000400262458,-42.650086,-71.569261,12.45,19.05,DBT_SA,certificada,22.056337,130
340730000400262459,-42.650374,-71.568690,11.55,12.03,DBT_SA,certificada,19.457552,142
340730000400262460,-42.650662,-71.568120,10.73,6.04,DBT_SA,certificada,14.988415,142
340730000400262461,-42.650951,-71.567548,12.45,1.60,,,,148
340730000400262463,-42.651528,-71.566406,2.8,3.26,DBT_SA,certificada,0.0,110
340730000400262464,-42.651817,-71.565833,13.23,2.06,,,,122
340730000400262465,-42.652106,-71.565260,13.38,2.03,,,,106
340730000400262466,-42.652395,-71.564688,10.28,9.00,,,,106
340730000400262472,-42.654171,-71.561177,12.67,16.64,DBT_SA,certificada,21.559048,143
340730000400262474,-42.654749,-71.560031,5.49,14.36,,,,180
340730100400258033,-42.661205,-71.560712,13.08,19.78,DBT_SA,certificada,26.241661,204
340730100400258036,-42.662088,-71.558962,4.22,17.24,,,,201
340730100400258038,-42.662668,-71.557810,3.55,6.44,,,,184
340730100400258040,-42.663245,-71.556665,7.92,11.19,DBT_SA,certificada,2.9826257,189
340730100400258041,-42.663536,-71.556085,12.44,15.47,DBT_SA,certificada,22.025211,203
340730100400258042,-42.663830,-71.555502,9.04,16.21,DBT_SA,certificada,7.0161247,206
340730100400258043,-42.664124,-71.554918,5.3,12.66,DBT_SA,certificada,0.21991478,207
340730100400258044,-42.664416,-71.554338,7.29,13.85,DBT_SA,certificada,2.5723405,216
