shot_number,lat,lon,elev_lowestmode,fabdem_m,n_egm2008_m,delta_terreno_m,control_terreno
340730500400257865,-42.683635,-71.558478,1375.1447,1363.59,21.697,-10.14,FUERA_DE_UMBRAL
340730500400257866,-42.683924,-71.557901,1380.4541,1362.46,21.698,-3.70,PASA
340730500400257867,-42.684208,-71.557333,1369.9388,1353.69,21.700,-5.45,FUERA_DE_UMBRAL
340730500400257869,-42.684770,-71.556213,1328.7638,1318.13,21.703,-11.07,FUERA_DE_UMBRAL
340730500400257881,-42.688198,-71.549365,1259.2655,1246.15,21.722,-8.61,FUERA_DE_UMBRAL
340730600400970056,-42.684434,-71.570414,1115.0967,1107.11,21.676,-13.69,FUERA_DE_UMBRAL
340730600400970069,-42.688265,-71.562748,1418.0448,1394.01,21.698,2.34,PASA
340730600400970070,-42.688552,-71.562176,1414.9967,1394.22,21.700,-0.92,PASA
340730600400970071,-42.688838,-71.561605,1411.1696,1394.88,21.701,-5.41,FUERA_DE_UMBRAL
340730600400970072,-42.689126,-71.561029,1413.655,1401.09,21.703,-9.14,FUERA_DE_UMBRAL
340730600400970073,-42.689422,-71.560435,1443.0317,1423.26,21.705,-1.94,PASA
340730600400970075,-42.689997,-71.559285,1444.5472,1428.77,21.708,-5.93,FUERA_DE_UMBRAL
340730600400970076,-42.690288,-71.558702,1457.9597,1434.47,21.709,1.78,PASA
356600000400197094,-42.570161,-71.443882,955.42535,930.74,21.579,3.10,PASA
356600000400197102,-42.572476,-71.439298,993.3231,968.60,21.596,3.13,PASA
356600000400197105,-42.573345,-71.437577,1015.00616,988.17,21.602,5.23,FUERA_DE_UMBRAL
356600000400197116,-42.576816,-71.430695,1086.0662,1061.23,21.626,3.21,PASA
356600000400197149,-42.586357,-71.411791,1229.6759,1204.43,21.690,3.56,PASA
356600000400197150,-42.586647,-71.411218,1236.303,1215.01,21.692,-0.40,PASA
356600100400192436,-42.562194,-71.473233,831.51196,808.02,21.504,1.98,PASA
356600100400192468,-42.571426,-71.454903,947.1491,923.03,21.565,2.55,PASA
356600100400192471,-42.572294,-71.453185,957.0863,931.77,21.571,3.75,PASA
356600100400192480,-42.574892,-71.448035,968.09247,942.81,21.589,3.70,PASA
356600100400192483,-42.575764,-71.446314,992.67664,966.76,21.596,4.32,PASA
356600100400192484,-42.576053,-71.445741,996.6144,970.58,21.598,4.44,PASA
356600100400192485,-42.576343,-71.445169,1001.0952,975.60,21.600,3.90,PASA
