shot_number,este_utm19s,norte_utm19s,altura_dosel_rh95_m,rh98_m,cover,pai,fhd_normal,pendiente_grados
334320500400258206,288615.8,5272312.6,2.02,2.5,0.002939198,0.005887062,0.947291,0.82
334320500400258207,288663.8,5272282.1,2.05,2.58,0.023135789,0.046815895,1.4960518,1.05
334320500400258208,288711.8,5272251.6,1.98,2.43,0.022856055,0.046243247,1.3003961,1.33
334320500400258209,288759.8,5272221.1,2.05,2.58,0.03118497,0.06336435,1.4169941,1.29
334320500400258210,288807.8,5272190.6,2.13,2.65,0.018539242,0.03742691,1.5338402,1.92
334320500400258211,288855.8,5272160.1,6.13,7.25,0.18491574,0.4089806,2.0364537,3.25
334320500400258214,289003.2,5272067.7,2.69,3.4,0.035228975,0.07173052,1.7127397,15.76
334320500400258215,289051.2,5272037.2,3.06,3.7,0.037407413,0.07625179,1.3835883,4.80
334320500400258216,289099.1,5272006.7,4.78,5.8,0.25642934,0.592698,1.8305224,3.68
334320500400258217,289147.2,5271976.1,4.07,4.9,0.12197746,0.26018694,1.7413287,6.99
334320500400258218,289195.7,5271945.5,3.77,4.71,0.007754955,0.015570434,0.74294597,11.26
334320500400258219,289244.1,5271914.8,3.21,4.04,0.037747964,0.07695952,1.8063791,10.89
334320500400258220,289292.2,5271884.3,9.5,10.58,0.42995936,1.1245505,2.3017948,13.82
334320500400258221,289340.8,5271853.6,4.41,5.42,0.14581768,0.31525227,1.902613,17.66
334320500400258222,289389.5,5271822.9,4.22,5.12,0.028725816,0.058293972,1.8847734,16.27
334320500400258228,289683.5,5271638.0,7.33,8.49,0.41818723,1.0836327,2.0804942,17.77
334320500400258229,289731.9,5271607.3,8.38,9.54,0.28320247,0.6660708,2.3439786,9.75
334320500400258230,289779.3,5271576.9,23.83,25.07,0.90045667,4.6303697,3.1389544,13.87
334320500400258231,289827.3,5271546.3,9.35,10.96,0.18534471,0.41003373,2.5341816,7.22
334320500400258232,289875.7,5271515.6,16.2,17.13,0.75923485,2.8519688,2.7959404,13.80
334320500400258233,289924.3,5271484.8,4.3,5.35,0.104286425,0.22028407,1.9804074,19.28
334320500400258242,290366.9,5271206.7,25.63,28.1,0.9375017,5.5744553,3.1963618,17.84
334320500400258243,290416.1,5271175.7,9.39,10.29,0.32185423,0.7769902,2.1881795,13.78
334320500400258244,290463.9,5271145.1,14.81,15.9,0.88777065,4.3880377,2.6777446,13.31
334320500400258247,290605.4,5271053.9,17.21,18.41,0.41657484,1.0780929,2.9032247,16.53
334320500400258248,290653.2,5271023.3,11.22,13.73,0.33211902,0.8075122,2.647806,14.39
334320500400258249,290699.9,5270992.9,20.5,22.75,0.63901174,2.0396,3.0061986,11.88
334320500400258252,290846.2,5270900.5,19.34,21.03,0.46196812,1.2402405,3.0658495,18.21
334320500400258258,291129.0,5270717.9,23.83,25.07,0.851468,3.823,3.1681826,15.78
334320600400967042,287706.9,5272159.5,8.53,9.76,0.48098382,1.3122733,2.224045,19.19
334320600400967046,287893.8,5272038.5,6.21,6.99,0.5235052,1.4834318,1.8781042,10.00
334320600400967048,287989.7,5271977.5,1.98,2.43,0.027769962,0.05632661,1.3305846,0.29
334320600400967049,288037.7,5271947.0,2.02,2.46,0.032464463,0.06600753,1.4245592,0.39
334320600400967050,288085.7,5271916.5,2.28,2.8,0.05707276,0.11753642,1.1886332,0.95
334320600400967051,288133.8,5271886.0,2.39,2.95,0.057890166,0.11927106,1.4609071,1.19
334320600400967052,288181.7,5271855.5,2.76,3.48,0.08142885,0.16988048,1.5058808,1.20
