archivo,beam,shot_number,lat,lon,este_utm19s,norte_utm19s,elev_lowestmode,l2a_quality_flag_rel3,degrade_flag,sensitivity,rh25,rh50,rh75,rh95,rh98,pendiente_grados,motivo,detalle
GEDI02_A_2025026122031_O34688_01_T00318_02_004_02_V003.h5,BEAM0010,346880200100042770,-42.793474,-71.205924,319594.2,5259759.3,1332.401,1,0,0.9308539,3.14,6.39,9.68,13.42,14.31,21.09,pendiente fuerte: la altura del dosel se sobrestima,pendiente=21.1 > 20 grados
GEDI02_A_2025026122031_O34688_01_T00318_02_004_02_V003.h5,BEAM0010,346880200100042778,-42.791195,-71.201342,319962.3,5260022.1,1288.3232,1,0,0.90262383,-0.41,3.02,6.72,11.1,11.99,22.53,pendiente fuerte: la altura del dosel se sobrestima,pendiente=22.5 > 20 grados
GEDI02_A_2025026122031_O34688_01_T00318_02_004_02_V003.h5,BEAM0010,346880200100042780,-42.790620,-71.200179,320055.8,5260088.5,1301.7253,1,0,0.9304541,-1.23,0.74,3.02,5.6,6.39,24.12,pendiente fuerte: la altura del dosel se sobrestima,pendiente=24.1 > 20 grados
GEDI02_A_2025026122031_O34688_01_T00318_02_004_02_V003.h5,BEAM0010,346880200100042781,-42.790336,-71.199608,320101.7,5260121.2,1293.8552,1,0,0.90769005,-3.06,-0.63,1.83,4.82,5.53,24.11,pendiente fuerte: la altura del dosel se sobrestima,pendiente=24.1 > 20 grados
GEDI02_A_2025026122031_O34688_01_T00318_02_004_02_V003.h5,BEAM0010,346880200100042784,-42.789484,-71.197898,320239.1,5260219.5,1268.257,1,0,0.9116462,-1.79,0.07,2.05,4.85,5.71,22.43,pendiente fuerte: la altura del dosel se sobrestima,pendiente=22.4 > 20 grados
GEDI02_A_2025026122031_O34688_01_T00318_02_004_02_V003.h5,BEAM0010,346880200100042797,-42.785784,-71.190460,320836.8,5260646.2,1200.4141,1,0,0.9024942,-2.46,-0.22,1.79,4.33,5.12,20.42,pendiente fuerte: la altura del dosel se sobrestima,pendiente=20.4 > 20 grados
GEDI02_A_2025026122031_O34688_01_T00318_02_004_02_V003.h5,BEAM0010,346880200100042805,-42.783502,-71.185865,321206.0,5260909.4,1184.4381,1,0,0.90208554,-1.83,0.33,2.72,5.56,6.39,22.23,pendiente fuerte: la altura del dosel se sobrestima,pendiente=22.2 > 20 grados
GEDI02_A_2025026122031_O34688_01_T00318_02_004_02_V003.h5,BEAM0010,346880200100042809,-42.782347,-71.183524,321394.3,5261042.5,1234.396,1,0,0.9194149,-1.49,0.26,2.16,4.93,5.79,20.31,pendiente fuerte: la altura del dosel se sobrestima,pendiente=20.3 > 20 grados
GEDI02_A_2025026122031_O34688_01_T00318_02_004_02_V003.h5,BEAM0010,346880200100042822,-42.778640,-71.176071,321993.3,5261470.0,1183.0338,1,0,0.9081949,1.42,3.06,4.44,6.01,6.35,39.45,pendiente fuerte: la altura del dosel se sobrestima,pendiente=39.5 > 20 grados
GEDI02_A_2025026122031_O34688_01_T00318_02_004_02_V003.h5,BEAM0010,346880200100042839,-42.773512,-71.165760,322822.2,5262061.2,1099.6641,1,0,0.9037329,-2.84,-0.29,2.09,5.08,5.94,25.53,pendiente fuerte: la altura del dosel se sobrestima,pendiente=25.5 > 20 grados
GEDI02_A_2025026122031_O34688_01_T00318_02_004_02_V003.h5,BEAM0010,346880200100042852,-42.769790,-71.158250,323426.0,5262490.2,1127.475,1,0,0.91014117,-1.64,0.29,2.35,4.71,5.45,23.14,pendiente fuerte: la altura del dosel se sobrestima,pendiente=23.1 > 20 grados
GEDI02_A_2025026122031_O34688_01_T00318_02_004_02_V003.h5,BEAM0010,346880200100042887,-42.759775,-71.138123,325044.5,5263644.4,1068.0948,1,0,0.9135215,-0.97,1.04,3.99,8.89,10.24,23.94,pendiente fuerte: la altura del dosel se sobrestima,pendiente=23.9 > 20 grados
GEDI02_A_2025026122031_O34688_01_T00318_02_004_02_V003.h5,BEAM0010,346880200100042893,-42.758050,-71.134641,325324.5,5263843.1,1102.187,1,0,0.902289,-0.67,1.23,3.47,6.42,7.21,20.81,pendiente fuerte: la altura del dosel se sobrestima,pendiente=20.8 > 20 grados
GEDI02_A_2025026122031_O34688_01_T00318_02_004_02_V003.h5,BEAM0010,346880200100042896,-42.757174,-71.132853,325468.4,5263944.1,1182.363,1,0,0.9017504,-2.13,0.11,2.72,6.57,7.51,28.69,pendiente fuerte: la altura del dosel se sobrestima,pendiente=28.7 > 20 grados
GEDI02_A_2025026122031_O34688_01_T00318_02_004_02_V003.h5,BEAM0010,346880200100043062,-42.709631,-71.037506,333143.5,5269416.6,912.00037,1,0,0.91884863,-1.12,0.0,1.15,2.95,3.58,,fuera del DEM,sin pendiente disponible
GEDI02_A_2025026122031_O34688_01_T00318_02_004_02_V003.h5,BEAM0011,346880300100041689,-42.803225,-71.211448,319170.9,5258664.5,1494.4163,1,0,0.9119594,-1.57,0.37,2.46,5.6,6.5,21.08,pendiente fuerte: la altura del dosel se sobrestima,pendiente=21.1 > 20 grados
GEDI02_A_2025026122031_O34688_01_T00318_02_004_02_V003.h5,BEAM0011,346880300100041691,-42.802661,-71.210319,319261.6,5258729.6,1461.2352,1,0,0.9127919,-2.72,-0.37,2.05,5.71,6.65,21.91,pendiente fuerte: la altura del dosel se sobrestima,pendiente=21.9 > 20 grados
