shot_number,lat,lon,elev_lowestmode,fabdem_m,n_egm2008_m,delta_terreno_m,control_terreno
356600800400197866,-42.778038,-71.116650,978.2605,956.88,21.444,-0.06,PASA
356600800400197867,-42.778327,-71.116071,990.05304,967.86,21.442,0.76,PASA
356600800400197868,-42.778617,-71.115491,1005.9927,983.57,21.439,0.98,PASA
356600800400197869,-42.778905,-71.114914,1012.58453,994.34,21.437,-3.20,PASA
356600800400197870,-42.779193,-71.114336,1021.5443,1002.86,21.434,-2.75,PASA
356600800400197871,-42.779483,-71.113756,1036.3881,1015.88,21.432,-0.92,PASA
356600800400197872,-42.779772,-71.113176,1051.1752,1030.08,21.429,-0.33,PASA
356600800400197873,-42.780062,-71.112595,1066.6714,1045.18,21.427,0.07,PASA
356600800400197874,-42.780351,-71.112015,1081.1838,1059.95,21.424,-0.19,PASA
356600800400197875,-42.780640,-71.111436,1093.2699,1072.78,21.422,-0.93,PASA
356600800400197876,-42.780928,-71.110857,1104.8813,1083.67,21.419,-0.21,PASA
356600800400197877,-42.781216,-71.110279,1111.2698,1090.52,21.417,-0.66,PASA
356600800400197878,-42.781502,-71.109702,1114.9478,1093.86,21.415,-0.33,PASA
356600800400197879,-42.781787,-71.109128,1110.3842,1089.38,21.412,-0.41,PASA
356600800400197880,-42.782071,-71.108555,1099.7257,1079.10,21.410,-0.79,PASA
356600800400197881,-42.782355,-71.107981,1092.4657,1070.80,21.407,0.26,PASA
356600800400197882,-42.782639,-71.107408,1084.7267,1062.91,21.405,0.42,PASA
356600800400197883,-42.782923,-71.106833,1079.1594,1056.49,21.402,1.27,PASA
356600800400197884,-42.783208,-71.106258,1075.8839,1053.12,21.400,1.36,PASA
356600800400197885,-42.783494,-71.105682,1075.8689,1052.15,21.397,2.32,PASA
356600800400197886,-42.783779,-71.105107,1071.497,1048.05,21.395,2.05,PASA
356600800400197887,-42.784063,-71.104533,1064.224,1041.47,21.393,1.36,PASA
356600800400197888,-42.784347,-71.103959,1055.8088,1033.42,21.390,1.00,PASA
356600800400197889,-42.784630,-71.103386,1046.1172,1024.36,21.388,0.37,PASA
356600800400197890,-42.784914,-71.102812,1038.8828,1016.33,21.385,1.17,PASA
356600800400197891,-42.785200,-71.102235,1040.2859,1014.84,21.383,4.07,PASA
356600800400197892,-42.785486,-71.101658,1043.9868,1017.40,21.380,5.21,FUERA_DE_UMBRAL
356600800400197893,-42.785771,-71.101083,1041.3688,1015.60,21.378,4.39,PASA
356600800400197894,-42.786055,-71.100508,1035.3773,1011.00,21.375,3.01,PASA
356600800400197895,-42.786340,-71.099933,1030.1102,1006.51,21.373,2.23,PASA
356600800400197896,-42.786624,-71.099359,1024.833,1002.48,21.371,0.98,PASA
356600800400197897,-42.786908,-71.098785,1018.1231,995.82,21.368,0.94,PASA
356600800400197898,-42.787192,-71.098211,1009.7949,986.67,21.366,1.76,PASA
356600800400197899,-42.787475,-71.097637,1000.2267,977.62,21.363,1.24,PASA
356600800400197900,-42.787760,-71.097063,995.6341,973.29,21.361,0.98,PASA
356600800400197901,-42.788044,-71.096488,990.3683,968.74,21.358,0.27,PASA
356600800400197902,-42.788329,-71.095913,987.4279,965.67,21.356,0.40,PASA
356600800400197903,-42.788614,-71.095337,984.9931,962.34,21.354,1.30,PASA
356600800400197904,-42.788899,-71.094762,981.8709,958.34,21.351,2.18,PASA
356600800400197905,-42.789184,-71.094186,978.5861,955.26,21.349,1.98,PASA
356600800400197906,-42.789469,-71.093611,974.3496,950.94,21.346,2.07,PASA
356600800400197907,-42.789754,-71.093036,970.53595,947.80,21.344,1.39,PASA
356600800400197908,-42.790038,-71.092461,966.3963,944.00,21.341,1.06,PASA
356600800400197909,-42.790324,-71.091885,963.9412,940.65,21.339,1.95,PASA
356600800400197910,-42.790608,-71.091311,956.21155,937.01,21.337,-2.13,PASA
356600800400197911,-42.790893,-71.090735,957.28723,939.15,21.334,-3.20,PASA
356600800400197912,-42.791180,-71.090158,958.6764,937.92,21.332,-0.58,PASA
356600800400197913,-42.791465,-71.089583,955.83496,935.59,21.329,-1.08,PASA
356600800400197914,-42.791750,-71.089007,952.6192,933.41,21.327,-2.12,PASA
356600800400197915,-42.792035,-71.088431,952.40576,932.68,21.325,-1.60,PASA
356600800400197916,-42.792321,-71.087855,953.1878,932.97,21.322,-1.11,PASA
356600800400197917,-42.792607,-71.087279,952.7439,932.58,21.320,-1.16,PASA
356600800400197918,-42.792893,-71.086703,951.2569,931.65,21.317,-1.71,PASA
356600800400197919,-42.793178,-71.086128,948.9178,928.69,21.315,-1.09,PASA
356600800400197920,-42.793463,-71.085553,945.9099,924.99,21.312,-0.39,PASA
356600800400197921,-42.793749,-71.084977,943.5684,922.55,21.310,-0.29,PASA
356600800400197922,-42.794034,-71.084401,942.86414,923.05,21.308,-1.49,PASA
356600800400197923,-42.794321,-71.083825,944.5513,925.65,21.305,-2.41,PASA
356600800400197924,-42.794607,-71.083249,944.59863,925.40,21.303,-2.10,PASA
356600800400197925,-42.794892,-71.082673,943.4943,924.18,21.301,-1.99,PASA
356600800400197926,-42.795178,-71.082098,940.13776,920.17,21.299,-1.33,PASA
356600800400197927,-42.795462,-71.081524,934.1927,914.61,21.297,-1.71,PASA
356600800400197928,-42.795748,-71.080948,931.42114,911.69,21.295,-1.57,PASA
356600800400197929,-42.796033,-71.080373,929.494,909.90,21.293,-1.70,PASA
356600800400197930,-42.796319,-71.079798,926.53577,907.16,21.292,-1.92,PASA
356600800400197931,-42.796605,-71.079222,925.8621,905.84,21.290,-1.26,PASA
356600800400197932,-42.796890,-71.078647,923.39386,902.38,21.288,-0.27,PASA
356600800400197933,-42.797176,-71.078072,919.9153,898.77,21.286,-0.14,PASA
356600800400197934,-42.797462,-71.077496,921.0783,899.18,21.284,0.61,PASA
356600800400197935,-42.797748,-71.076919,922.6888,901.27,21.282,0.14,PASA
356600800400197936,-42.798033,-71.076346,915.7781,896.13,21.281,-1.63,PASA
356600800400197937,-42.798318,-71.075771,910.76733,890.10,21.279,-0.61,PASA
356600800400197938,-42.798604,-71.075196,909.5273,888.74,21.277,-0.49,PASA
356600800400197939,-42.798891,-71.074619,911.60376,890.90,21.275,-0.57,PASA
356600800400197940,-42.799177,-71.074042,913.945,892.39,21.273,0.28,PASA
356600800400197941,-42.799463,-71.073467,911.63086,890.04,21.271,0.32,PASA
356600800400197942,-42.799749,-71.072891,911.0741,887.85,21.270,1.96,PASA
356600800400197943,-42.800034,-71.072316,906.91504,884.35,21.268,1.30,PASA
356600800400197944,-42.800320,-71.071741,902.0605,880.03,21.266,0.77,PASA
356600800400197945,-42.800605,-71.071166,897.6339,877.77,21.264,-1.40,PASA
356600800400197946,-42.800891,-71.070590,897.3236,877.07,21.262,-1.01,PASA
356600800400197947,-42.801177,-71.070014,895.3914,874.01,21.261,0.12,PASA
356600800400197948,-42.801463,-71.069438,893.7932,871.49,21.259,1.05,PASA
356600800400197949,-42.801748,-71.068863,890.35944,868.18,21.257,0.92,PASA
356600800400197950,-42.802034,-71.068287,888.39734,865.90,21.255,1.24,PASA
356600800400197951,-42.802320,-71.067711,887.38727,864.36,21.254,1.77,PASA
356600800400197952,-42.802606,-71.067135,883.839,861.68,21.252,0.90,PASA
356600800400197953,-42.802891,-71.066561,877.0487,855.52,21.250,0.28,PASA
356600800400197954,-42.803176,-71.065986,871.20135,849.15,21.248,0.81,PASA
356600800400197955,-42.803462,-71.065410,869.0678,847.19,21.247,0.63,PASA
356600800400197956,-42.803748,-71.064834,867.9405,846.20,21.245,0.50,PASA
356600800400197957,-42.804034,-71.064257,867.29346,845.62,21.243,0.43,PASA
356600800400197958,-42.804320,-71.063681,867.00946,845.19,21.241,0.58,PASA
356600800400197959,-42.804606,-71.063104,867.28827,844.96,21.240,1.09,PASA
356600800400197960,-42.804893,-71.062527,869.7681,846.15,21.238,2.38,PASA
356600800400197961,-42.805181,-71.061948,874.67365,851.38,21.236,2.06,PASA
356600800400197962,-42.805468,-71.061370,880.3243,857.45,21.235,1.64,PASA
356600800400197963,-42.805755,-71.060793,880.85944,858.43,21.233,1.19,PASA
356600800400197964,-42.806041,-71.060217,880.87463,858.21,21.231,1.43,PASA
356600800400197965,-42.806327,-71.059640,880.6303,857.93,21.230,1.47,PASA
356600800400197966,-42.806613,-71.059064,879.1658,856.87,21.228,1.07,PASA
356600800400197967,-42.806898,-71.058489,873.81396,851.37,21.226,1.22,PASA
356600800400197968,-42.807182,-71.057916,862.4156,841.34,21.224,-0.15,PASA
356600800400197969,-42.807467,-71.057341,857.5356,833.83,21.223,2.48,PASA
356600800400197970,-42.807753,-71.056764,857.2928,832.88,21.221,3.19,PASA
356600800400197971,-42.808039,-71.056187,858.1951,833.19,21.220,3.79,PASA
356600800400197972,-42.808326,-71.055610,861.39343,837.00,21.218,3.18,PASA
356600800400197973,-42.808614,-71.055031,868.06635,843.69,21.216,3.16,PASA
356600800400197974,-42.808900,-71.054455,867.4865,844.14,21.215,2.13,PASA
356600800400197975,-42.809183,-71.053882,853.6274,832.46,21.213,-0.04,PASA
356600800400197976,-42.809466,-71.053309,843.20306,820.70,21.211,1.29,PASA
356600800400197977,-42.809752,-71.052733,840.25446,817.50,21.210,1.54,PASA
356600800400197978,-42.810037,-71.052158,835.92645,814.50,21.208,0.22,PASA
356600800400197979,-42.810322,-71.051583,832.2359,809.75,21.206,1.28,PASA
356600800400197980,-42.810608,-71.051007,831.7612,809.16,21.205,1.40,PASA
356600800400197981,-42.810893,-71.050431,829.146,806.62,21.203,1.32,PASA
356600800400197982,-42.811178,-71.049856,824.1737,802.86,21.202,0.12,PASA
356600800400197983,-42.811463,-71.049280,823.5914,802.64,21.200,-0.25,PASA
356600800400197984,-42.811750,-71.048702,827.02295,805.10,21.198,0.72,PASA
356600800400197985,-42.812037,-71.048124,833.32666,810.95,21.197,1.18,PASA
356600800400197986,-42.812324,-71.047546,836.8668,815.00,21.195,0.67,PASA
356600800400197987,-42.812610,-71.046969,839.97534,817.18,21.194,1.60,PASA
356600800400197988,-42.812896,-71.046393,839.94434,817.74,21.192,1.02,PASA
356600800400197989,-42.813182,-71.045816,841.0632,818.44,21.191,1.44,PASA
356600800400197990,-42.813468,-71.045240,841.19415,818.75,21.189,1.25,PASA
