shot_number,lat,lon,rh98,pendiente_grados,predict_stratum,agbd_origen,agbd_L4A_Mg_ha,agbd_CCI2024_Mg_ha
332031100400192986,-42.734279,-71.061709,3.7,6.73,GSW_SA,certificada,3.265132,0
332031100400192987,-42.734566,-71.061134,2.73,4.08,GSW_SA,certificada,1.3916254,0
332031100400192988,-42.734853,-71.060560,2.5,2.70,,,,0
332031100400192989,-42.735140,-71.059987,2.65,4.89,,,,0
332031100400192990,-42.735426,-71.059416,2.73,4.19,GSW_SA,certificada,1.3916254,5
332031100400192991,-42.735714,-71.058840,3.32,5.10,,,,5
332031100400192992,-42.736001,-71.058265,2.5,2.52,,,,0
332031100400192993,-42.736288,-71.057692,2.54,1.69,,,,0
332031100400192994,-42.736575,-71.057119,2.43,2.95,,,,0
332031100400192995,-42.736862,-71.056546,2.76,4.38,GSW_SA,certificada,1.4378811,0
332031100400192996,-42.737148,-71.055975,2.73,4.64,,,,0
332031100400192997,-42.737435,-71.055400,3.89,4.97,,,,0
332031100400192998,-42.737723,-71.054824,3.06,4.10,,,,0
332031100400192999,-42.738011,-71.054249,2.5,3.31,,,,0
332031100400193000,-42.738297,-71.053678,3.06,5.82,,,,0
332031100400193001,-42.738584,-71.053106,2.76,6.88,GSW_SA,certificada,1.4378811,0
332031100400193002,-42.738870,-71.052534,2.91,7.83,GSW_SA,certificada,1.6803944,0
332031100400193003,-42.739157,-71.051963,2.99,7.19,GSW_SA,certificada,1.81738,0
332031100400193004,-42.739443,-71.051391,3.7,7.79,GSW_SA,certificada,3.265132,0
332031100400193005,-42.739730,-71.050820,3.32,7.09,GSW_SA,certificada,2.4385128,0
332031100400193006,-42.740017,-71.050246,3.29,6.63,,,,0
332031100400193007,-42.740304,-71.049673,5.01,6.16,,,,5
332031100400193008,-42.740592,-71.049098,3.59,6.73,,,,0
332031100400193009,-42.740878,-71.048527,4.67,8.27,,,,8
332031100400193010,-42.741164,-71.047955,2.5,5.57,,,,7
332031100400193011,-42.741451,-71.047384,2.69,5.14,GSW_SA,certificada,1.3311168,8
332031100400193012,-42.741737,-71.046813,2.84,5.03,,,,5
332031100400193013,-42.742023,-71.046241,2.39,4.28,GSW_SA,certificada,0.9198619,5
332031100400193014,-42.742310,-71.045669,2.58,3.26,GSW_SA,certificada,1.1715966,2
332031100400193015,-42.742596,-71.045096,3.32,4.89,,,,0
332031100400193016,-42.742885,-71.044519,2.91,4.96,GSW_SA,certificada,1.6803944,0
332031100400193017,-42.743171,-71.043946,2.65,3.96,,,,0
332031100400193018,-42.743457,-71.043374,2.69,4.14,GSW_SA,certificada,1.3311168,0
332031100400193019,-42.743744,-71.042802,3.29,6.55,GSW_SA,certificada,2.3783236,0
332031100400193020,-42.744030,-71.042228,4.26,8.57,,,,2
332031100400193021,-42.744317,-71.041656,4.19,7.42,GSW_SA,certificada,4.505998,1
332031100400193022,-42.744603,-71.041082,2.73,3.68,GSW_SA,certificada,1.3916254,1
332031100400193023,-42.744890,-71.040507,2.84,1.63,GSW_SA,certificada,1.564893,0
332031100400193024,-42.745177,-71.039933,2.84,5.25,GSW_SA,certificada,1.564893,0
332031100400193025,-42.745462,-71.039361,2.8,7.99,GSW_SA,certificada,1.5007216,0
332031100400193026,-42.745748,-71.038789,3.32,7.96,GSW_SA,certificada,2.4385128,0
332031100400193027,-42.746035,-71.038214,3.51,7.71,GSW_SA,certificada,2.8369577,0
332031100400193028,-42.746320,-71.037642,3.03,7.38,GSW_SA,certificada,1.8878646,0
332031100400193029,-42.746606,-71.037068,2.5,6.63,GSW_SA,certificada,1.0619253,0
332031100400193030,-42.746893,-71.036494,2.8,7.62,,,,10
332031100400193031,-42.747178,-71.035922,3.85,7.26,GSW_SA,certificada,3.624111,0
332031100400193032,-42.747464,-71.035348,2.99,5.54,GSW_SA,certificada,1.81738,0
332031100400193033,-42.747750,-71.034773,2.88,5.29,,,,0
332031100400193034,-42.748036,-71.034199,4.11,2.40,GSW_SA,certificada,4.289997,0
332031100400193035,-42.748322,-71.033625,6.99,0.85,GSW_SA,certificada,15.311873,0
332031100400193036,-42.748607,-71.033050,2.46,1.20,,,,21
332031100400193037,-42.748893,-71.032476,2.39,1.12,GSW_SA,certificada,0.9198619,17
332031100400193038,-42.749179,-71.031901,2.5,1.41,GSW_SA,certificada,1.0619253,15
332031100400193039,-42.749464,-71.031327,2.73,1.33,GSW_SA,certificada,1.3916254,0
332031100400193040,-42.749749,-71.030753,2.54,1.04,,,,16
332031100400193041,-42.750035,-71.030178,2.61,0.78,GSW_SA,certificada,1.2141011,12
332031100400193042,-42.750320,-71.029603,2.43,1.60,GSW_SA,certificada,0.9703503,0
332031100400193043,-42.750605,-71.029029,2.46,1.43,GSW_SA,certificada,1.0090951,0
332031100400193044,-42.750890,-71.028454,2.46,1.15,GSW_SA,certificada,1.0090951,0
332031100400193045,-42.751175,-71.027880,2.43,1.26,GSW_SA,certificada,0.9703503,0
332031100400193046,-42.751460,-71.027306,2.73,1.17,GSW_SA,certificada,1.3916254,0
346880000100042831,-42.782737,-71.210666,5.6,16.14,,,,110
346880000100042874,-42.770525,-71.186163,3.55,6.95,,,,0
346880000100042922,-42.756791,-71.158518,4.93,13.43,,,,0
346880000100042979,-42.740451,-71.125626,4.82,12.27,ENT_SA,certificada,20.053268,0
346880000100042980,-42.740167,-71.125060,5.75,12.19,ENT_SA,certificada,22.438597,19
346880000100042982,-42.739599,-71.123925,4.96,13.74,ENT_SA,certificada,20.856792,17
346880000100042997,-42.735325,-71.115373,2.95,3.74,,,,0
346880000100042999,-42.734753,-71.114224,7.1,2.02,,,,0
346880000100043037,-42.723855,-71.092343,3.92,17.50,,,,0
346880100100041756,-42.786833,-71.204888,3.36,14.29,,,,130
346880100100041757,-42.786547,-71.204312,6.35,19.10,,,,91
346880100100041829,-42.766006,-71.163005,3.99,12.94,,,,0
346880100100041833,-42.764853,-71.160669,3.17,8.81,,,,0
346880100100041881,-42.751061,-71.132851,7.21,14.36,,,,10
346880100100041901,-42.745376,-71.121474,7.06,9.44,ENT_SA,certificada,40.67139,13
346880100100041933,-42.736235,-71.103145,3.1,3.84,,,,0
346880100100041970,-42.725618,-71.081833,2.8,2.68,,,,0
346880100100042000,-42.717020,-71.064618,4.82,7.95,,,,4
346880100100042008,-42.714727,-71.060019,3.06,5.24,,,,2
346880200100042760,-42.796325,-71.211658,6.91,14.09,,,,0
346880200100042761,-42.796043,-71.211093,8.67,16.03,,,,0
346880200100042772,-42.792907,-71.204791,11.13,19.52,,,,0
346880200100042773,-42.792623,-71.204219,4.67,17.56,,,,0
346880200100042775,-42.792057,-71.203086,4.93,13.30,,,,0
346880200100042776,-42.791771,-71.202511,4.29,9.75,,,,73
346880200100042790,-42.787786,-71.194498,4.85,7.62,,,,0
346880200100042792,-42.787216,-71.193349,4.67,12.86,,,,0
346880200100042793,-42.786930,-71.192775,3.47,11.56,,,,0
346880200100042794,-42.786646,-71.192202,5.38,10.16,,,,0
346880200100042795,-42.786360,-71.191626,4.59,11.66,,,,0
346880200100042798,-42.785499,-71.189887,4.59,19.70,,,,58
346880200100042799,-42.785216,-71.189318,4.48,16.33,,,,0
346880200100042800,-42.784932,-71.188749,4.11,11.57,,,,0
346880200100042813,-42.781211,-71.181243,4.97,19.05,,,,18
346880200100042825,-42.777799,-71.174398,3.99,16.33,,,,46
346880200100042826,-42.777514,-71.173826,6.05,11.71,,,,0
346880200100042829,-42.776369,-71.171518,5.56,17.80,,,,0
346880200100042854,-42.769224,-71.157119,3.66,13.81,,,,0
346880200100042862,-42.766938,-71.152524,3.21,19.51,,,,18
346880200100042884,-42.760634,-71.139852,6.01,16.00,,,,0
346880200100042890,-42.758911,-71.136379,4.52,19.13,,,,0
346880200100042921,-42.750037,-71.118536,2.54,8.61,,,,0
346880200100042932,-42.746895,-71.112237,4.03,8.14,,,,7
346880200100042953,-42.740882,-71.100158,3.51,9.14,,,,2
346880200100042971,-42.735727,-71.089808,2.95,6.42,,,,0
346880200100042997,-42.728260,-71.074803,3.77,7.26,,,,1
346880200100043020,-42.721669,-71.061600,3.06,5.92,,,,0
346880200100043024,-42.720522,-71.059304,3.81,5.91,,,,0
346880300100041694,-42.801811,-71.208617,15.88,19.07,,,,143
346880300100041695,-42.801525,-71.208043,5.94,14.75,,,,128
346880300100041696,-42.801239,-71.207466,3.62,11.53,,,,108
346880300100041697,-42.800954,-71.206894,3.58,11.67,,,,119
346880300100041698,-42.800668,-71.206321,4.59,11.76,,,,99
346880300100041699,-42.800384,-71.205750,14.24,13.29,,,,125
346880300100041710,-42.797239,-71.199421,3.32,19.34,,,,0
346880300100041711,-42.796958,-71.198860,3.7,16.98,,,,0
346880300100041712,-42.796674,-71.198291,3.66,12.00,,,,0
346880300100041713,-42.796387,-71.197712,7.47,15.56,,,,0
346880300100041717,-42.795240,-71.195396,3.32,18.48,,,,0
346880300100041740,-42.788670,-71.182156,3.88,10.99,,,,0
346880300100041741,-42.788385,-71.181584,5.19,13.50,,,,20
346880300100041751,-42.785538,-71.175861,3.17,8.33,,,,7
346880300100041769,-42.780111,-71.164938,3.02,10.68,,,,0
346880300100041770,-42.779827,-71.164367,5.53,11.46,,,,0
346880300100041771,-42.779543,-71.163798,4.0,9.94,,,,0
346880300100041773,-42.778972,-71.162648,2.76,11.94,,,,0
346880300100041775,-42.778405,-71.161513,3.14,11.10,,,,16
346880300100041778,-42.777554,-71.159805,5.23,9.70,,,,14
346880300100041779,-42.777265,-71.159216,4.18,12.15,,,,14
346880300100041780,-42.776979,-71.158641,3.43,11.72,,,,0
346880300100041781,-42.776694,-71.158068,4.18,11.35,,,,0
346880300100041786,-42.775260,-71.155172,4.07,5.99,,,,11
346880300100041787,-42.774974,-71.154592,3.96,6.41,,,,11
346880300100041788,-42.774687,-71.154013,3.62,5.90,,,,11
346880300100041790,-42.774113,-71.152855,3.47,3.79,,,,0
346880300100041791,-42.773827,-71.152278,3.43,1.89,,,,0
346880300100041798,-42.771823,-71.148242,4.89,7.53,,,,2
346880300100041806,-42.769523,-71.143604,3.62,8.53,,,,0
346880300100041807,-42.769237,-71.143031,4.03,18.54,,,,9
346880300100041819,-42.765839,-71.136251,5.6,15.57,,,,0
346880300100041829,-42.762992,-71.130547,9.19,4.72,,,,0
346880300100041830,-42.762706,-71.129971,2.65,1.58,,,,0
346880300100041831,-42.762420,-71.129395,2.84,2.59,,,,0
346880300100041833,-42.761846,-71.128238,3.85,7.74,,,,0
346880300100041846,-42.758104,-71.120684,4.37,16.32,,,,0
346880300100041849,-42.757251,-71.118976,3.58,11.93,,,,12
