sitio,shot,este,norte,rh95,cover,pai,NDVI,EVI,NDMI,NBR
Estepa,356600800400197879,327478.3,5261259.6,2.69,0.006889708,0.013827133,0.2338871955871582,0.11979133635759354,-0.16678012907505035,-0.08714746683835983
Estepa,356600800400197880,327525.9,5261229.3,2.99,0.033613276,0.06838312,0.2687591314315796,0.13700561225414276,-0.17471042275428772,-0.09810939431190491
Estepa,356600800400197881,327573.7,5261199.0,2.73,0.027554335,0.055882648,0.23432882130146027,0.11977630108594894,-0.18463321030139923,-0.11316624283790588
Estepa,356600800400197882,327621.4,5261168.6,2.54,0.07306065,0.15173797,0.24623459577560425,0.11993245035409927,-0.20398671925067902,-0.13947394490242004
Estepa,356600800400197883,327669.1,5261138.2,2.17,0.013344057,0.02686789,0.245589941740036,0.11889241635799408,-0.20813173055648804,-0.15368865430355072
Estepa,356600800400197884,327717.0,5261107.7,2.02,0.014030361,0.028259559,0.19948792457580566,0.09651172906160355,-0.21002228558063507,-0.16508165001869202
Estepa,356600800400197885,327764.9,5261077.1,1.98,0.009487604,0.019065853,0.19095788896083832,0.0893939733505249,-0.22593219578266144,-0.1756065934896469
Estepa,356600800400197886,327812.7,5261046.7,2.43,0.0053577577,0.010744342,0.21849820017814636,0.10607809573411942,-0.20834565162658691,-0.15819638967514038
Estepa,356600800400197887,327860.4,5261016.3,2.28,0.012995932,0.026162345,0.2157316952943802,0.1024210974574089,-0.2329876720905304,-0.18068620562553406
Estepa,356600800400197888,327908.2,5260986.0,2.62,0.03027813,0.06149256,0.22189611196517944,0.10493217408657074,-0.2396184653043747,-0.18705622851848602
Estepa,356600800400197889,327955.8,5260955.7,2.54,0.028046073,0.056894265,0.23765645921230316,0.11284739524126053,-0.2325073629617691,-0.1703256219625473
Estepa,356600800400197890,328003.6,5260925.3,2.62,0.028038196,0.056878053,0.23019583523273468,0.10789176821708679,-0.2424420714378357,-0.18226908147335052
Estepa,356600800400197891,328051.5,5260894.8,4.68,0.05299029,0.10889376,0.19893741607666016,0.09577994793653488,-0.23731786012649536,-0.17196324467658997
Estepa,356600800400197892,328099.6,5260864.1,3.4,0.022040455,0.044574264,0.16469433903694153,0.07893665879964828,-0.23835022747516632,-0.19797024130821228
Estepa,356600800400197893,328147.4,5260833.7,2.65,0.00877818,0.01763392,0.19473180174827576,0.08881376683712006,-0.25018230080604553,-0.20989865064620972
Estepa,356600800400197894,328195.2,5260803.3,2.58,0.031825185,0.064685896,0.19234523177146912,0.08618482947349548,-0.267720490694046,-0.2258061021566391
Estepa,356600800400197895,328243.0,5260772.9,2.09,0.02795848,0.056714028,0.20027859508991241,0.09342131018638611,-0.24300557374954224,-0.19940881431102753
Estepa,356600800400197896,328290.8,5260742.4,2.35,0.0040783943,0.008173478,0.19815754890441895,0.09199953824281693,-0.24149315059185028,-0.19564583897590637
Estepa,356600800400197897,328338.5,5260712.1,2.47,0.012915508,0.025999384,0.2172897905111313,0.10187077522277832,-0.24231375753879547,-0.1898438185453415
Estepa,356600800400197898,328386.2,5260681.7,2.47,0.011549051,0.023232602,0.22226953506469727,0.10464637726545334,-0.23702168464660645,-0.18529073894023895
Estepa,356600800400197899,328433.9,5260651.4,2.17,0.009356765,0.018801685,0.23606862127780914,0.11067666113376617,-0.2412206530570984,-0.1784941703081131
Estepa,356600800400197900,328481.7,5260621.0,2.32,0.010094886,0.020292433,0.21546082198619843,0.10117658972740173,-0.22982478141784668,-0.19069303572177887
Estepa,356600800400197901,328529.5,5260590.6,2.09,0.011564106,0.023263065,0.20450952649116516,0.09242202341556549,-0.254970908164978,-0.218413844704628
Estepa,356600800400197902,328577.4,5260560.1,2.2,0.03226371,0.065592,0.19034987688064575,0.09174271672964096,-0.23237334191799164,-0.19551914930343628
Estepa,356600800400197903,328625.2,5260529.6,2.5,0.059215173,0.122084044,0.1870245635509491,0.09292438626289368,-0.22793515026569366,-0.19910261034965515
Estepa,356600800400197904,328673.1,5260499.2,2.65,0.033766665,0.068700604,0.2047014981508255,0.09891784191131592,-0.23459762334823608,-0.19337205588817596
Estepa,356600800400197905,328720.9,5260468.7,2.13,0.020523619,0.04147458,0.22512391209602356,0.11865924298763275,-0.21614667773246765,-0.14557746052742004
Estepa,356600800400197906,328768.7,5260438.2,2.2,0.019380283,0.039141327,0.2245331108570099,0.1096828505396843,-0.2622741162776947,-0.19122731685638428
Estepa,356600800400197907,328816.6,5260407.8,2.5,0.020864487,0.04217073,0.22006691992282867,0.10391504317522049,-0.26648959517478943,-0.21023663878440857
Estepa,356600800400197908,328864.4,5260377.3,2.28,0.051430598,0.10560242,0.2275126576423645,0.10520444810390472,-0.26574769616127014,-0.2182329297065735
Estepa,356600800400197909,328912.3,5260346.8,1.9,0.00556806,0.011167259,0.2146470695734024,0.11901073902845383,-0.1896161437034607,-0.13427743315696716
Estepa,356600800400197910,328960.0,5260316.5,4.75,0.2876096,0.67833936,0.2133900672197342,0.1124463751912117,-0.18052619695663452,-0.11057300865650177
Estepa,356600800400197911,329007.9,5260285.9,4.26,0.09325787,0.19580056,0.18069590628147125,0.0932573676109314,-0.20408488810062408,-0.13230429589748383
Estepa,356600800400197912,329055.9,5260255.3,2.17,0.00259909,0.0052049514,0.1863136738538742,0.09737494587898254,-0.2204609215259552,-0.16166895627975464
Estepa,356600800400197913,329103.7,5260224.8,2.47,0.007286379,0.014626143,0.1874043494462967,0.09588799625635147,-0.22519370913505554,-0.17446312308311462
Estepa,356600800400197914,329151.6,5260194.3,3.36,0.17831811,0.39282975,0.1826241910457611,0.09705928713083267,-0.2157992571592331,-0.1565908044576645
Estepa,356600800400197915,329199.5,5260163.7,2.5,0.08119514,0.16936766,0.17985820770263672,0.0971948578953743,-0.2013837695121765,-0.14018967747688293
Estepa,356600800400197916,329247.4,5260133.1,2.35,0.039158206,0.07989204,0.18361148238182068,0.09643477946519852,-0.2219139188528061,-0.16233108937740326
Estepa,356600800400197917,329295.3,5260102.6,2.05,0.011350692,0.022831287,0.1734534353017807,0.08986835181713104,-0.21827054023742676,-0.16306255757808685
Estepa,356600800400197918,329343.2,5260072.0,2.28,0.05465802,0.11241908,0.17965108156204224,0.09525098651647568,-0.20327503979206085,-0.14825326204299927
Estepa,356600800400197919,329391.0,5260041.5,2.13,0.00931174,0.018710786,0.18155884742736816,0.09184134006500244,-0.2305397391319275,-0.1794091761112213
Estepa,356600800400197920,329438.8,5260011.0,2.28,0.021338006,0.043138202,0.2014296054840088,0.10235444456338882,-0.23152974247932434,-0.17433589696884155
