archivo,beam,shot_number,lat,lon,este_utm19s,norte_utm19s,elev_lowestmode,l2a_quality_flag_rel3,degrade_flag,sensitivity,rh25,rh50,rh75,rh95,rh98
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072099,-42.771737,-71.138558,325042.6,5262315.1,3045.0361,0,0,0.7751843,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072100,-42.771451,-71.137982,325088.9,5262348.1,3044.5037,0,0,0.7141437,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072101,-42.771165,-71.137406,325135.2,5262381.1,3044.4583,0,0,0.8540922,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072102,-42.770878,-71.136830,325181.6,5262414.0,3044.432,0,0,0.86037433,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072103,-42.770592,-71.136254,325227.9,5262447.0,3044.04,0,0,0.80462164,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072104,-42.770306,-71.135677,325274.3,5262480.0,3044.4316,0,0,0.6872151,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072105,-42.770019,-71.135100,325320.6,5262513.0,3044.2822,0,0,0.8486383,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072106,-42.769733,-71.134524,325367.0,5262546.0,3043.5945,0,0,0.9050286,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072107,-42.769447,-71.133947,325413.3,5262579.0,3043.7898,0,0,0.76185477,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072108,-42.769161,-71.133371,325459.7,5262612.0,3043.2693,0,0,0.91042715,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072109,-42.768874,-71.132794,325506.1,5262645.0,3043.4624,0,0,0.6682773,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072110,-42.768587,-71.132217,325552.5,5262678.0,3043.5981,0,0,0.7880036,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072111,-42.768301,-71.131640,325598.9,5262711.0,3043.3613,0,0,0.89132756,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072112,-42.768014,-71.131062,325645.4,5262744.0,3043.4294,0,0,0.7663729,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072113,-42.767728,-71.130486,325691.8,5262777.0,3042.8728,0,0,0.8856572,0.0,0.0,0.0,0.0,0.0
