shot_number,aoi,sitio,lat,lon,este_utm19s,norte_utm19s,particion,rh95,rh50,pai,cover,fhd_normal,pendiente_grados,agbd_Mg_ha,agbd_se_Mg_ha,predict_stratum,agbd_origen,leaf_off_flag,NDVI,EVI,NDMI,NBR,g0_C_VH,g0_C_VV,g0_L_SAOCOM_HH,g0_L_SAOCOM_HV,g0_L_NISAR_HH,g0_L_NISAR_HV,g0_L_PALSAR2_HH,g0_L_PALSAR2_HV,COB_N3,COB_GRUPO,COB_FRAC,COB_NCLASES,COB_BORDE,COB_FRAC_BOSQUE
356600500400193038,ESTEPA_NW_02,estepa,-42.768962,-71.102418,327991.6,5262697.6,entrenamiento,2.58,-0.11,0.09288573,0.045380384,1.3416665,4.44,2.1639936,3.0013936,GSW_SA,certificada,0,0.19502,0.10060,-0.23200,-0.18121,-22.588,-15.197,-22.538,-31.045,-17.300,-24.543,-17.426,-26.503,Estepa,estepa,1.0,1,NO,0.0
356600500400193039,ESTEPA_NW_02,estepa,-42.769247,-71.101843,328039.5,5262667.2,entrenamiento,2.05,-0.22,0.04169057,0.020629417,1.5176439,2.41,1.1160929,3.006673,GSW_SA,certificada,0,0.19148,0.09866,-0.23617,-0.18972,-22.464,-15.016,-22.405,-30.958,-17.307,-24.799,-16.803,-26.582,Estepa,estepa,1.0,1,NO,0.0
356600500400193040,ESTEPA_NW_02,estepa,-42.769533,-71.101267,328087.4,5262636.5,entrenamiento,2.62,-0.03,0.20763089,0.09860588,1.3627845,5.63,,,,,,0.18418,0.09488,-0.21176,-0.16863,-23.226,-14.782,-22.094,-30.752,-16.443,-24.765,-16.207,-26.698,Estepa,estepa,1.0,1,NO,0.0
356600500400193041,ESTEPA_NW_02,estepa,-42.769820,-71.100690,328135.4,5262605.8,entrenamiento,2.43,-0.14,0.1069559,0.05207248,1.4151855,7.82,,,,,,0.17050,0.09335,-0.17574,-0.11151,-22.317,-14.017,-21.439,-30.475,-15.444,-24.403,-15.589,-26.607,Estepa,estepa,1.0,1,NO,0.0
356600500400193042,ESTEPA_NW_02,estepa,-42.770107,-71.100114,328183.3,5262575.1,entrenamiento,2.13,-0.14,0.070658796,0.0347123,1.4001598,3.84,,,,,,0.17020,0.09268,-0.19318,-0.12360,-22.135,-13.880,-20.733,-30.603,-15.434,-24.426,-15.117,-26.288,Estepa,estepa,1.0,1,NO,0.0
356600500400193043,ESTEPA_NW_02,estepa,-42.770394,-71.099538,328231.2,5262544.5,entrenamiento,2.05,-0.14,0.037925325,0.018783914,1.110603,2.95,1.1160929,3.006673,GSW_SA,certificada,0,0.17863,0.09634,-0.19420,-0.13797,-22.764,-14.311,-21.079,-31.432,-16.206,-24.324,-16.246,-26.590,Estepa,estepa,1.0,1,NO,0.0
356600500400193044,ESTEPA_NW_02,estepa,-42.770679,-71.098964,328279.0,5262514.0,entrenamiento,2.13,-0.11,0.098176844,0.047902487,1.2881155,3.73,,,,,,0.18035,0.09498,-0.20198,-0.15357,-22.350,-14.343,-21.298,-31.765,-17.389,-24.620,-17.558,-27.444,Estepa,estepa,1.0,1,NO,0.0
356600500400193045,ESTEPA_NW_02,estepa,-42.770964,-71.098389,328326.8,5262483.5,entrenamiento,2.17,-0.22,0.053130206,0.026215184,1.4669929,4.40,,,,,,0.18554,0.09895,-0.19490,-0.14137,-21.774,-14.507,-21.268,-31.853,-17.619,-24.609,-18.113,-27.738,Estepa,estepa,1.0,1,NO,0.0
356600500400193046,ESTEPA_NW_02,estepa,-42.771249,-71.097815,328374.6,5262453.0,entrenamiento,2.05,-0.18,0.05316705,0.026233122,1.0777385,3.67,,,,,,0.18319,0.09738,-0.20043,-0.15496,-21.533,-14.372,-22.040,-32.372,-17.913,-24.533,-18.141,-28.013,Estepa,estepa,1.0,1,NO,0.0
356600500400193047,ESTEPA_NW_02,estepa,-42.771535,-71.097240,328422.4,5262422.5,entrenamiento,1.98,-0.18,0.062344305,0.030691076,1.3683783,2.13,,,,,,0.17210,0.09097,-0.18839,-0.14768,-21.963,-14.388,-22.940,-32.537,-17.920,-24.951,-18.651,-28.533,Estepa,estepa,1.0,1,NO,0.0
356600500400193048,ESTEPA_NW_02,estepa,-42.771820,-71.096666,328470.2,5262391.9,entrenamiento,1.94,-0.18,0.07467195,0.036647245,1.2239028,4.09,,,,,,0.17498,0.10241,-0.20718,-0.15950,-22.413,-15.654,-23.571,-33.178,-18.510,-25.454,-18.634,-28.569,Mallin,humedal,0.5684,2,SI,0.0
356600500400193049,ESTEPA_NW_02,estepa,-42.772106,-71.096091,328518.0,5262361.3,entrenamiento,1.9,-0.18,0.033171944,0.016449114,0.98147804,3.00,,,,,,0.14828,0.09603,-0.23603,-0.20907,-23.227,-16.170,-24.269,-33.888,-18.753,-25.560,-19.297,-29.214,Mallin,humedal,1.0,1,NO,0.0
356600500400193050,ESTEPA_NW_02,estepa,-42.772392,-71.095516,328565.9,5262330.7,entrenamiento,1.98,-0.18,0.075170934,0.03688756,1.2399787,1.37,,,,,,0.12909,0.08527,-0.24162,-0.22131,-24.100,-16.220,-24.359,-33.212,-18.658,-25.620,-18.948,-29.419,Mallin,humedal,1.0,1,NO,0.0
356600500400193051,ESTEPA_NW_02,estepa,-42.772679,-71.094940,328613.7,5262300.1,entrenamiento,3.07,0.0,0.20230535,0.096202604,1.4240001,6.79,,,,,,0.15993,0.10798,-0.20325,-0.16391,-24.065,-15.697,-23.065,-31.778,-17.385,-25.632,-17.346,-27.963,Mallin,humedal,1.0,1,NO,0.0
356600500400193052,ESTEPA_NW_02,estepa,-42.772967,-71.094362,328661.8,5262269.2,entrenamiento,3.93,0.18,0.32170856,0.14857814,1.7472739,11.55,,,,,,0.16161,0.08602,-0.25068,-0.20446,-22.574,-14.932,-21.882,-30.263,-16.090,-25.044,-16.269,-26.736,Estepa,estepa,0.9191,2,NO,0.0
356600500400193053,ESTEPA_NW_02,estepa,-42.773256,-71.093785,328709.8,5262238.4,entrenamiento,3.89,-0.07,0.15408918,0.07415005,1.9562509,11.05,,,,,,0.16079,0.08248,-0.22285,-0.17955,-21.061,-14.206,-20.904,-29.624,-15.993,-24.799,-16.271,-26.265,Estepa,estepa,1.0,1,NO,0.0
356600500400193054,ESTEPA_NW_02,estepa,-42.773543,-71.093209,328757.7,5262207.6,entrenamiento,3.4,-0.11,0.121491686,0.05893674,1.8016155,10.11,,,,,,0.16584,0.08707,-0.22720,-0.17674,-20.488,-13.952,-20.430,-29.888,-16.142,-24.445,-16.217,-25.868,Estepa,estepa,1.0,1,NO,0.0
