shot_number,aoi,sitio,lat,lon,este_utm19s,norte_utm19s,particion,rh95,rh50,pai,cover,fhd_normal,pendiente_grados,agbd_Mg_ha,agbd_se_Mg_ha,predict_stratum,agbd_origen,leaf_off_flag,NDVI,EVI,NDMI,NBR,g0_C_VH,g0_C_VV,g0_L_SAOCOM_HH,g0_L_SAOCOM_HV,g0_L_NISAR_HH,g0_L_NISAR_HV,g0_L_PALSAR2_HH,g0_L_PALSAR2_HV
334320100400258180,BOSQUE_NW_02,bosque,-42.659767,-71.563117,289929.8,5273781.2,entrenamiento,9.09,4.19,2.091274,0.6482223,2.2060218,14.09,11.348364,13.106917,DBT_SA,hoja_caida,1,0.77582,0.48960,0.21770,0.49599,-16.042,-10.182,-12.512,-17.376,-8.007,-13.665,-9.350,-13.661
334320100400258188,BOSQUE_NW_02,bosque,-42.662377,-71.557880,290367.8,5273504.4,entrenamiento,2.35,-0.14,0.038814407,0.01921989,1.2603475,6.39,0.0,13.127952,DBT_SA,hoja_caida,1,0.83946,0.51993,0.25210,0.54726,-14.461,-9.841,-11.696,-17.262,-7.130,-12.295,-7.354,-12.363
334320100400258197,BOSQUE_NW_02,bosque,-42.664972,-71.552704,290800.7,5273229.1,entrenamiento,6.47,0.56,0.41160667,0.18598647,1.9975317,14.28,1.5111043,13.11212,DBT_SA,hoja_caida,1,0.84017,0.55503,0.31194,0.59570,-15.521,-10.572,-12.478,-17.896,-6.934,-12.787,-8.289,-13.079
334320100400258205,BOSQUE_NW_02,bosque,-42.667271,-71.548137,291182.7,5272985.0,entrenamiento,7.55,1.75,0.8221123,0.33697912,2.1536248,18.68,4.410924,13.108718,DBT_SA,hoja_caida,1,0.79763,0.45440,0.18803,0.47660,-14.843,-9.116,-12.251,-17.275,-7.227,-12.782,-8.222,-12.482
334320100400258208,BOSQUE_NW_02,bosque,-42.668141,-71.546398,291328.1,5272892.7,entrenamiento,4.26,0.26,0.20585148,0.097800575,1.7376562,14.38,0.11040367,13.120031,DBT_SA,hoja_caida,1,0.77257,0.42125,0.14201,0.43059,-15.203,-9.772,-12.655,-18.356,-7.584,-12.749,-8.091,-12.265
334320100400258210,BOSQUE_NW_02,bosque,-42.668715,-71.545261,291423.2,5272831.7,entrenamiento,7.82,3.14,1.2839079,0.473587,2.053261,13.72,6.5899806,13.110056,DBT_SA,hoja_caida,1,0.61784,0.31672,0.01218,0.25170,-15.558,-10.098,-12.964,-18.279,-8.129,-14.498,-8.691,-14.323
334320100400258211,BOSQUE_NW_02,bosque,-42.669005,-71.544684,291471.5,5272801.0,entrenamiento,3.81,0.37,0.38033202,0.17316055,1.6708672,14.27,0.08708668,13.121048,DBT_SA,hoja_caida,1,0.80930,0.48564,0.17338,0.45093,-15.328,-9.803,-12.842,-17.857,-8.096,-14.301,-8.559,-14.073
334320100400258216,BOSQUE_NW_02,bosque,-42.670450,-71.541805,291712.2,5272647.6,entrenamiento,9.01,3.77,1.9822546,0.6285542,2.2421548,15.66,10.398427,13.106472,DBT_SA,hoja_caida,1,0.71753,0.40174,0.12445,0.39979,-15.552,-9.080,-12.510,-16.935,-7.667,-12.936,-8.171,-11.868
334320100400258221,BOSQUE_NW_02,bosque,-42.671899,-71.538917,291953.7,5272493.8,entrenamiento,10.89,7.03,2.559414,0.72147775,2.3109097,14.32,24.111477,13.105199,DBT_SA,hoja_caida,1,0.91125,0.61628,0.40209,0.69170,-16.116,-9.755,-10.997,-15.820,-6.805,-11.515,-6.867,-11.941
334320100400258227,BOSQUE_NW_02,bosque,-42.673626,-71.535490,292240.4,5272310.5,entrenamiento,7.85,2.88,1.6015948,0.550818,2.1124184,2.72,6.272468,13.109506,DBT_SA,hoja_caida,1,0.86250,0.46278,0.24989,0.55831,-15.837,-9.195,-12.393,-16.973,-6.633,-12.092,-7.552,-11.872
334320100400258228,BOSQUE_NW_02,bosque,-42.673915,-71.534916,292288.4,5272279.8,entrenamiento,9.01,4.11,1.9259758,0.6179731,2.1917205,1.57,,,,,,0.87515,0.48328,0.25837,0.55522,-15.686,-9.503,-12.624,-17.293,-6.776,-12.357,-8.221,-12.903
334320100400258229,BOSQUE_NW_02,bosque,-42.674203,-71.534342,292336.3,5272249.2,entrenamiento,4.75,0.44,0.45550892,0.20365563,1.7386589,5.16,0.37767234,13.117772,DBT_SA,hoja_caida,1,0.78231,0.48114,0.21085,0.48562,-14.986,-9.758,-11.999,-16.888,-7.327,-12.384,-8.203,-12.838
334320100400258250,BOSQUE_NW_02,bosque,-42.680301,-71.522165,293354.3,5271601.9,entrenamiento,5.95,1.19,0.3959306,0.17958272,1.8015198,17.98,1.5831541,13.114462,DBT_SA,hoja_caida,1,0.83653,0.51366,0.28755,0.56726,-16.083,-10.039,-12.455,-17.319,-6.202,-11.509,-7.179,-10.863
334320100400258263,BOSQUE_NW_02,bosque,-42.684053,-71.514717,293977.1,5271203.5,entrenamiento,13.92,8.64,3.0112572,0.77763265,2.616676,15.78,,,,,,0.82108,0.54794,0.30219,0.58835,-15.719,-10.237,-12.106,-17.027,-6.624,-12.211,-8.382,-11.611
334320100400258266,BOSQUE_NW_02,bosque,-42.684920,-71.512993,294121.1,5271111.3,entrenamiento,3.36,-0.59,0.005676801,0.0028343715,0.7831452,10.74,0.0,13.122036,DBT_SA,hoja_caida,1,0.92897,0.68519,0.46407,0.74604,-16.060,-10.113,-12.056,-16.724,-6.312,-11.144,-6.912,-10.995
