archivo,beam,shot_number,lat,lon,este_utm19s,norte_utm19s,pai,fhd_normal,cover,l2b_quality_flag_rel3
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262836,-42.668098,-71.533077,292419.6,5272930.3,0.7104287,1.8566705,0.29892033,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262837,-42.668388,-71.532497,292468.1,5272899.5,0.039278228,1.5074872,0.019447308,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262838,-42.668675,-71.531928,292515.7,5272869.0,0.006502631,0.67327636,0.0032460298,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262839,-42.668963,-71.531357,292563.5,5272838.4,0.031185433,1.5328692,0.015471644,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262840,-42.669250,-71.530788,292611.1,5272807.9,0.07613151,1.2463744,0.03734956,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262841,-42.669540,-71.530212,292659.2,5272777.2,0.02425718,1.6465499,0.012055252,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262842,-42.669828,-71.529640,292707.1,5272746.6,0.02090655,0.84288615,0.010398769,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262843,-42.670115,-71.529070,292754.8,5272716.1,0.033166315,1.5048237,0.016446259,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262844,-42.670404,-71.528497,292802.7,5272685.5,0.03761398,1.247774,0.018631045,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262845,-42.670692,-71.527924,292850.6,5272654.8,0.07898673,1.2854224,0.038722806,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262846,-42.670981,-71.527349,292898.6,5272624.2,3.8187532,2.1918716,0.85118395,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262847,-42.671272,-71.526767,292947.3,5272593.2,0.09126569,1.5094727,0.044606186,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262848,-42.671560,-71.526196,292995.1,5272562.7,1.3910321,1.9495523,0.5010085,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262849,-42.671851,-71.525616,293043.6,5272531.8,0.12622574,1.6857297,0.061160337,1
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262850,-42.672141,-71.525038,293091.9,5272501.0,0.0725621,1.6377102,0.03563005,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262851,-42.672431,-71.524460,293140.2,5272470.2,0.051292095,1.4099979,0.025319615,1
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262852,-42.672720,-71.523885,293188.3,5272439.5,0.4370666,1.7527673,0.19627991,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262853,-42.673011,-71.523304,293236.9,5272408.7,0.009835358,0.8927601,0.004905593,0
