archivo,beam,shot_number,lat,lon,este_utm19s,norte_utm19s,pai,fhd_normal,cover,l2b_quality_flag_rel3
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193406,-42.716463,-71.051261,332035.4,5268630.6,0.18645388,1.473409,0.08900868,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193407,-42.716750,-71.050685,332083.4,5268599.9,0.102430195,1.283582,0.049924288,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193408,-42.717037,-71.050111,332131.1,5268569.2,0.052615117,1.2817931,0.025964148,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193409,-42.717324,-71.049537,332178.9,5268538.5,0.06640093,1.4066138,0.032654773,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193410,-42.717610,-71.048963,332226.7,5268507.8,0.0739683,1.4646589,0.036307838,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193411,-42.717898,-71.048387,332274.7,5268477.0,0.2477376,1.4970998,0.116496325,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193412,-42.718186,-71.047811,332322.6,5268446.2,0.12427094,1.3496726,0.060242355,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193413,-42.718473,-71.047235,332370.6,5268415.4,0.1022882,1.4937601,0.049856838,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193414,-42.718760,-71.046660,332418.4,5268384.7,0.112356946,1.258792,0.0546279,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193415,-42.719046,-71.046087,332466.1,5268354.0,0.079452604,1.4899507,0.0389467,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193416,-42.719335,-71.045509,332514.2,5268323.1,0.018640375,0.6365142,0.009276841,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193417,-42.719621,-71.044935,332562.0,5268292.5,0.1604135,1.4448948,0.07707107,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193418,-42.719909,-71.044359,332609.9,5268261.7,0.05384894,1.3767941,0.026564838,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193419,-42.720196,-71.043783,332657.8,5268230.9,0.5140095,2.0571995,0.2266042,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193420,-42.720487,-71.043200,332706.4,5268199.8,0.29581687,2.284945,0.13747878,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193421,-42.720777,-71.042618,332754.8,5268168.7,0.025562061,0.66950095,0.01269961,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193422,-42.721062,-71.042047,332802.3,5268138.2,0.020085046,0.755172,0.009992208,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193423,-42.721346,-71.041480,332849.5,5268107.8,0.338657,1.750465,0.1557541,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193424,-42.721632,-71.040907,332897.2,5268077.2,0.2274532,1.5635719,0.107491344,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193425,-42.721919,-71.040331,332945.1,5268046.4,0.03749482,1.0781589,0.018572576,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193426,-42.722204,-71.039759,332992.7,5268015.9,0.15778169,1.4354179,0.075855896,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193427,-42.722491,-71.039185,333040.5,5267985.2,0.14787486,1.5511736,0.07126728,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193428,-42.722779,-71.038608,333088.5,5267954.4,0.1718338,1.3672134,0.08232561,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193429,-42.723065,-71.038035,333136.2,5267923.7,0.00956117,1.5829716,0.0047691637,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193430,-42.723352,-71.037460,333184.0,5267893.0,0.16677985,1.6025808,0.08000396,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193431,-42.723639,-71.036883,333232.0,5267862.2,0.72021884,1.9866556,0.30234262,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193432,-42.723929,-71.036303,333280.3,5267831.2,0.18256412,1.8642645,0.08723538,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193433,-42.724218,-71.035724,333328.5,5267800.3,0.037739486,0.9327278,0.018692626,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193434,-42.724504,-71.035151,333376.2,5267769.7,0.17347784,1.4255646,0.08307956,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193435,-42.724789,-71.034578,333423.8,5267739.1,0.0451857,1.2967259,0.02233926,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193436,-42.725075,-71.034007,333471.4,5267708.5,0.16116306,1.5887222,0.077416874,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193437,-42.725361,-71.033434,333519.1,5267677.9,0.13132912,1.6225238,0.06355275,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193438,-42.725647,-71.032861,333566.8,5267647.2,0.105973616,1.5891815,0.051605955,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193439,-42.725933,-71.032288,333614.4,5267616.6,0.078812726,1.475412,0.03863918,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193440,-42.726218,-71.031716,333662.0,5267586.0,0.09291716,1.3335779,0.045394726,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193441,-42.726504,-71.031143,333709.7,5267555.4,0.05083542,1.4524466,0.025097042,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193442,-42.726791,-71.030569,333757.4,5267524.7,0.2739845,1.7596143,0.12801342,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193443,-42.727079,-71.029992,333805.4,5267493.9,0.10084418,1.2062808,0.049170617,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193444,-42.727365,-71.029419,333853.2,5267463.2,0.07410838,1.4894056,0.036375333,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193445,-42.727652,-71.028845,333900.9,5267432.5,0.10127373,1.6479845,0.0493748,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193446,-42.727938,-71.028272,333948.6,5267401.8,0.10380446,1.7281141,0.050576854,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193447,-42.728225,-71.027698,333996.4,5267371.1,0.12033565,1.8194201,0.058391556,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193448,-42.728512,-71.027123,334044.2,5267340.3,0.22439092,1.8254951,0.106123924,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193449,-42.728799,-71.026548,334092.0,5267309.6,0.12171362,1.9354849,0.059040044,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193450,-42.729088,-71.025970,334140.1,5267278.7,0.16886096,2.1163256,0.080960676,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0110,332030600401033890,-42.708536,-71.080778,329596.7,5269451.7,0.22187345,1.6074129,0.10499843,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0110,332030600401033891,-42.708825,-71.080201,329644.7,5269420.9,0.027127512,0.9975754,0.013472084,1
