producto,sensor,fecha,indice,shot_number,rh95,valor
SAOCOM\02_pre_incendio_2025_26\BOSQUE_NW_02\SAOCOM_L1A\SAO1B_L1A_20251123_13870600.dim,SAOCOM,20251123,RVI_dual_HH_HV,334320200400263277,25.90,0.89395
SAOCOM\02_pre_incendio_2025_26\BOSQUE_NW_02\SAOCOM_L1A\SAO1B_L1A_20251123_13870600.dim,SAOCOM,20251123,RVI_dual_HH_HV,334320200400263279,21.59,0.90574
SAOCOM\02_pre_incendio_2025_26\BOSQUE_NW_02\SAOCOM_L1A\SAO1B_L1A_20251123_13870600.dim,SAOCOM,20251123,RVI_dual_HH_HV,334320200400263280,27.28,0.90021
SAOCOM\02_pre_incendio_2025_26\BOSQUE_NW_02\SAOCOM_L1A\SAO1B_L1A_20251123_13870600.dim,SAOCOM,20251123,RVI_dual_HH_HV,334320200400263281,16.88,0.82664
SAOCOM\02_pre_incendio_2025_26\BOSQUE_NW_02\SAOCOM_L1A\SAO1B_L1A_20251123_13870600.dim,SAOCOM,20251123,RVI_dual_HH_HV,334320200400263282,25.07,0.83631
SAOCOM\02_pre_incendio_2025_26\BOSQUE_NW_02\SAOCOM_L1A\SAO1B_L1A_20251123_13870600.dim,SAOCOM,20251123,RVI_dual_HH_HV,334320200400263283,19.65,0.88025
SAOCOM\02_pre_incendio_2025_26\BOSQUE_NW_02\SAOCOM_L1A\SAO1B_L1A_20251123_13870600.dim,SAOCOM,20251123,RVI_dual_HH_HV,334320200400263285,25.67,0.84977
SAOCOM\02_pre_incendio_2025_26\BOSQUE_NW_02\SAOCOM_L1A\SAO1B_L1A_20251123_13870600.dim,SAOCOM,20251123,RVI_dual_HH_HV,334320200400263286,25.26,0.90238
SAOCOM\02_pre_incendio_2025_26\BOSQUE_NW_02\SAOCOM_L1A\SAO1B_L1A_20251123_13870600.dim,SAOCOM,20251123,RVI_dual_HH_HV,334320200400263287,32.71,1.01072
SAOCOM\02_pre_incendio_2025_26\BOSQUE_NW_02\SAOCOM_L1A\SAO1B_L1A_20251123_13870600.dim,SAOCOM,20251123,RVI_dual_HH_HV,334320200400263292,8.79,0.76202
SAOCOM\02_pre_incendio_2025_26\BOSQUE_NW_02\SAOCOM_L1A\SAO1B_L1A_20251123_13870600.dim,SAOCOM,20251123,RVI_dual_HH_HV,334320200400263304,3.18,0.86333
SAOCOM\02_pre_incendio_2025_26\BOSQUE_NW_02\SAOCOM_L1A\SAO1B_L1A_20251123_13870600.dim,SAOCOM,20251123,RVI_dual_HH_HV,334320200400263320,13.40,0.90440
SAOCOM\02_pre_incendio_2025_26\BOSQUE_NW_02\SAOCOM_L1A\SAO1B_L1A_20251123_13870600.dim,SAOCOM,20251123,RVI_dual_HH_HV,334320200400263322,14.67,0.80426
SAOCOM\02_pre_incendio_2025_26\BOSQUE_NW_02\SAOCOM_L1A\SAO1B_L1A_20251123_13870600.dim,SAOCOM,20251123,RVI_dual_HH_HV,334320200400263325,13.69,0.98917
SAOCOM\02_pre_incendio_2025_26\BOSQUE_NW_02\SAOCOM_L1A\SAO1B_L1A_20251123_13870600.dim,SAOCOM,20251123,RVI_dual_HH_HV,334320200400263327,14.29,0.89365
SAOCOM\02_pre_incendio_2025_26\BOSQUE_NW_02\SAOCOM_L1A\SAO1B_L1A_20251123_13870600.dim,SAOCOM,20251123,RVI_dual_HH_HV,334320300400258245,14.63,0.91761
SAOCOM\02_pre_incendio_2025_26\BOSQUE_NW_02\SAOCOM_L1A\SAO1B_L1A_20251123_13870600.dim,SAOCOM,20251123,RVI_dual_HH_HV,334320300400258247,6.06,0.84651
SAOCOM\02_pre_incendio_2025_26\BOSQUE_NW_02\SAOCOM_L1A\SAO1B_L1A_20251123_13870600.dim,SAOCOM,20251123,RVI_dual_HH_HV,334320300400258248,11.86,0.95323
SAOCOM\02_pre_incendio_2025_26\BOSQUE_NW_02\SAOCOM_L1A\SAO1B_L1A_20251123_13870600.dim,SAOCOM,20251123,RVI_dual_HH_HV,334320300400258249,12.91,1.03129
SAOCOM\02_pre_incendio_2025_26\BOSQUE_NW_02\SAOCOM_L1A\SAO1B_L1A_20251123_13870600.dim,SAOCOM,20251123,RVI_dual_HH_HV,334320300400258251,16.20,0.94676
SAOCOM\02_pre_incendio_2025_26\BOSQUE_NW_02\SAOCOM_L1A\SAO1B_L1A_20251123_13870600.dim,SAOCOM,20251123,RVI_dual_HH_HV,334320300400258253,11.00,0.88579
SAOCOM\02_pre_incendio_2025_26\BOSQUE_NW_02\SAOCOM_L1A\SAO1B_L1A_20251123_13870600.dim,SAOCOM,20251123,RVI_dual_HH_HV,334320300400258254,6.99,0.86605
