shot_number,rh95,fuente,gamma0_dB
340730500400257864,20.11,S1 VH,-15.472
340730500400257865,17.83,S1 VH,-15.624
340730500400257866,14.16,S1 VH,-15.323
340730500400257867,19.29,S1 VH,-15.364
340730500400257868,14.57,S1 VH,-14.985
340730500400257869,23.47,S1 VH,-15.458
340730500400257880,10.57,S1 VH,-15.444
340730500400257881,17.34,S1 VH,-15.469
340730500400257882,16.56,S1 VH,-16.71
340730500400257884,13.79,S1 VH,-17.358
340730500400257885,7.14,S1 VH,-17.107
340730500400257886,16.11,S1 VH,-16.793
340730500400257887,11.88,S1 VH,-16.79
340730500400257888,7.85,S1 VH,-16.312
340730500400257889,6.09,S1 VH,-15.936
340730600400970055,4.71,S1 VH,-15.466
340730600400970056,26.31,S1 VH,-15.473
340730600400970063,21.38,S1 VH,-15.305
340730600400970064,17.12,S1 VH,-15.969
340730600400970065,17.01,S1 VH,-15.824
340730600400970066,31.21,S1 VH,-15.737
340730600400970067,17.23,S1 VH,-15.984
340730600400970068,2.57,S1 VH,-16.173
340730600400970069,2.95,S1 VH,-15.69
340730600400970070,8.33,S1 VH,-14.857
340730600400970071,11.55,S1 VH,-14.944
340730600400970072,13.75,S1 VH,-15.32
340730600400970073,3.1,S1 VH,-15.449
340730600400970075,15.21,S1 VH,-14.843
340730600400970076,4.26,S1 VH,-14.858
356600000400197094,3.25,S1 VH,-15.772
356600000400197102,5.27,S1 VH,-15.323
356600000400197105,2.77,S1 VH,-15.648
356600000400197116,2.84,S1 VH,-14.54
356600000400197149,3.22,S1 VH,-14.557
356600100400192436,3.96,S1 VH,-15.949
356600100400192468,3.07,S1 VH,-16.006
356600100400192471,4.53,S1 VH,-15.186
356600100400192480,4.0,S1 VH,-15.394
356600100400192483,3.4,S1 VH,-14.88
356600100400192484,3.74,S1 VH,-14.717
356600100400192485,5.31,S1 VH,-14.459
356600100400192486,3.55,S1 VH,-14.678
356600100400192487,4.41,S1 VH,-15.028
356600100400192489,4.53,S1 VH,-15.108
356600100400192491,6.77,S1 VH,-15.024
356600100400192492,8.57,S1 VH,-16.279
356600100400192493,4.19,S1 VH,-16.423
356600100400192496,4.08,S1 VH,-14.811
356600100400192538,2.77,S1 VH,-14.719
356600200400197666,3.59,S1 VH,-15.389
356600200400197717,4.0,S1 VH,-15.539
356600200400197718,3.93,S1 VH,-14.658
356600200400197722,3.14,S1 VH,-14.749
356600200400197723,3.37,S1 VH,-14.839
356600200400197728,3.78,S1 VH,-14.386
356600200400197729,3.52,S1 VH,-14.221
356600200400197730,3.59,S1 VH,-14.197
356600200400197745,18.94,S1 VH,-15.316
356600200400197748,18.5,S1 VH,-15.152
356600200400197750,18.76,S1 VH,-14.961
356600200400197751,22.13,S1 VH,-15.688
356600200400197752,20.29,S1 VH,-15.473
356600200400197754,20.18,S1 VH,-15.344
356600200400197755,18.05,S1 VH,-15.564
356600200400197757,14.3,S1 VH,-15.873
356600200400197758,18.46,S1 VH,-16.153
356600200400197760,20.74,S1 VH,-16.33
356600200400197761,18.23,S1 VH,-16.907
356600300400192470,3.29,S1 VH,-15.874
356600300400192475,10.44,S1 VH,-15.831
356600300400192485,7.67,S1 VH,-17.257
356600300400192557,2.8,S1 VH,-14.676
356600300400192560,2.99,S1 VH,-14.926
356600300400192565,3.96,S1 VH,-14.211
356600300400192566,3.93,S1 VH,-14.863
356600300400192571,22.73,S1 VH,-15.233
356600300400192573,16.62,S1 VH,-15.394
356600300400192575,19.1,S1 VH,-16.28
356600300400192578,20.14,S1 VH,-15.631
356600300400192579,18.35,S1 VH,-15.63
356600300400192584,24.3,S1 VH,-14.931
356600300400192587,19.21,S1 VH,-14.483
356600300400192588,21.27,S1 VH,-14.747
356600300400192589,22.77,S1 VH,-14.386
356600300400192590,24.08,S1 VH,-14.69
356600300400192591,23.03,S1 VH,-14.215
356600300400192592,24.45,S1 VH,-14.295
356600300400192593,20.93,S1 VH,-14.675
356600300400192594,18.05,S1 VH,-14.472
356600300400192595,17.86,S1 VH,-14.829
356600300400192596,25.8,S1 VH,-14.714
356600300400192597,19.51,S1 VH,-14.896
356600300400192598,18.61,S1 VH,-14.726
356600300400192599,16.55,S1 VH,-15.012
356600300400192600,13.59,S1 VH,-14.85
356600300400192601,18.31,S1 VH,-14.722
356600300400192602,17.63,S1 VH,-15.723
356600300400192603,24.0,S1 VH,-16.375
356600300400192604,22.54,S1 VH,-15.696
